HEAD,0.000,7.000,
f000001,7.000,15.500,"On behalf of the Commission on Presidential Debates, I am pleased to welcome you to this Vice Presidential debate."
f000002,15.500,20.840,I'm Judy Woodruff of PBS' MacNeil-Lehrer News Hour and Frontline.
f000003,20.840,30.360,My colleagues on the panel are: John Margolis of the Chicago Tribune; Tom Brokaw of NBC NEWS; and Brit Hume of ABC NEWS.
f000004,30.360,35.700,The importance of tonight's debate is underscored by two facts.
n000001,35.700,36.320,(SILENCE)
f000005,36.320,44.400,Both George Bush and Michael Dukakis said their selections of a running mate would reveal a lot about themselves.
f000006,44.400,54.900,"And based on the history since World War II, there is almost a 50-50 chance that one of the two men here tonight will become President of the United States."
f000007,54.900,59.520,"The candidates are Senator Dan Quayle, the Republican nominee, and Senator Lloyd Bentsen, the Democratic nominee."
f000008,59.520,59.521,(Applause)
f000009,59.521,91.360,For the next 90 minutes we will be questioning the candidates following a format designed and agreed to by representatives of the two campaigns.
n000002,91.360,91.960,(SILENCE)
f000010,91.960,97.640,"However, there are no restrictions on the questions that my colleagues and I may ask this evening."
n000003,97.640,98.520,(SILENCE)
f000011,98.520,104.520,"By prior agreement between the two candidates, the first question goes to Senator Quayle, and you have two minutes to respond."
n000004,104.520,104.920,(SILENCE)
f000012,104.920,114.800,"Senator, you have been criticized, as we all know, for your decision to stay out of the Vietnam War, for your poor academic record."
f000013,114.800,119.560,But more troubling to some are some of the comments that have been made by people in your own party.
n000005,119.560,120.040,(SILENCE)
f000014,120.040,128.320,Just last week former Secretary of State Haig said that your pick was the dumbest call George Bush could have made.
f000015,128.320,131.000,Your leader in the Senate.
f000016,131.000,131.001,(Applause)
f000017,131.001,135.760,Your leader in the Senate Bob Dole said that a better qualified person could have been chosen.
n000006,135.760,136.280,(SILENCE)
f000018,136.280,139.240,Other Republicans have been far more critical in private.
n000007,139.240,140.080,(SILENCE)
f000019,140.080,147.520,Why do you think that you have not made a more substantial impression on some of these people who have been able to observe you up close?
n000008,147.520,149.840,(SILENCE)
f000020,149.840,160.740,"The question goes to whether I am qualified to be Vice President, and in the case of a tragedy, whether I'm qualified to be President."
f000021,160.740,165.400,Qualifications for the office of Vice President or President are not age alone.
n000009,165.400,167.000,(SILENCE)
f000022,167.000,170.760,"You must look at accomplishments, and you must look at experience."
n000010,170.760,172.160,(SILENCE)
f000023,172.160,176.400,I have more experience than others that have sought the office of Vice President.
n000011,176.400,177.840,(SILENCE)
f000024,177.840,186.640,"Now let's look at qualifications, and let's look at the three biggest issues that are going to be confronting America in the next presidency."
n000012,186.640,187.440,(SILENCE)
f000025,187.440,195.940,Those three issues are national security and arms control; jobs and education; and the Federal budget deficit.
f000026,195.940,202.880,On each one of those issues I have more experience than does the Governor of Massachusetts.
n000013,202.880,203.760,(SILENCE)
f000027,203.760,212.720,"In national security and arms control, you have to understand the difference between a ballistic missile, a warhead, what throwweight, what megatonnage is."
n000014,212.720,213.120,(SILENCE)
f000028,213.120,215.560,You better understand about telemetry and encryption.
n000015,215.560,216.200,(SILENCE)
f000029,216.200,219.340,And you better understand that you have to negotiate from a position of strength.
n000016,219.340,220.440,(SILENCE)
f000030,220.440,224.280,"These are important issues, because we want to have more arms control and arms reductions."
n000017,224.280,225.440,(SILENCE)
f000031,225.440,238.640,"In the area of jobs and education, I wrote the Job Training Partnership Act, a bipartisan bill, a bill that has trained and employed over three million economically disadvantaged youth and adults in this country."
n000018,238.640,239.880,(SILENCE)
f000032,239.880,246.520,"On the area of the Federal budget deficit, I have worked eight years on the Senate Budget Committee."
n000019,246.520,247.600,(SILENCE)
f000033,247.600,254.140,And I wish that the Congress would give us the line item veto to help deal with that.
f000034,254.140,264.520,"And if qualifications alone are going to be the issue in this campaign, George Bush has more qualifications than Michael Dukakis and Lloyd Bentsen combined."
f000035,264.520,264.521,(Applause)
f000036,264.521,281.800,Senator Bentsen - I'm going to interrupt at this point and ask once again that the audience please keep your responses as quiet as possible.
f000037,281.800,284.720,We know that many of you here are for one candidate or another.
f000038,284.720,296.560,"But you are simply taking time away from your candidate, and more likely than not, you'll be causing the partisans for the other candidate to react again when their candidate speaks."
f000039,296.560,297.700,So please.
f000040,297.700,302.140,"Senator Bentsen, you have one minute to respond."
f000041,302.140,306.120,This debate tonight is not about the qualifications for the Vice Presidency.
n000020,306.120,306.920,(SILENCE)
f000042,306.920,314.040,The debate is whether or not Dan Quayle and Lloyd Bentsen are qualified to be President of the United States.
n000021,314.040,314.600,(SILENCE)
f000043,314.600,319.080,"Because Judy, just as you have said, that has happened too often in the past."
f000044,319.080,339.840,"And if that tragedy should occur, we have to step in there without any margin for error, without time for preparation, to take over the responsibility for the biggest job in the world, that of running this great country of ours; to take over the awesome responsibility for commanding the nuclear weaponry that this country has."
n000022,339.840,340.360,(SILENCE)
f000045,340.360,348.280,"No, the debate tonight is a debate about the presidency itself, and a presidential decision that has to be made by you."
f000046,348.280,351.980,The stakes could not be higher.
n000023,351.980,353.360,(SILENCE)
f000047,353.360,357.620,"Senator Bentsen, a question for you, and you also have two minutes to respond."
f000048,357.620,364.880,What bothers people is not so much your qualifications but your split on policy with Governor Dukakis.
f000049,364.880,375.420,"He has said that he does not want a clone of himself, but you disagree with him on some major issues: aid to the Nicaraguan Contras; the death penalty; gun control; among others."
n000024,375.420,375.960,(SILENCE)
f000050,375.960,382.200,"If you had to step into the presidency, whose agenda would you pursue, yours or his?"
n000025,382.200,383.480,(SILENCE)
f000051,383.480,390.960,"Well, I am delighted to respond to that question, because we agree on so many things and the vast majority of the issues."
n000026,390.960,391.720,(SILENCE)
f000052,391.720,395.000,We agree on the fact that we have to cut this deficit.
n000027,395.000,395.680,(SILENCE)
f000053,395.680,407.960,"And Governor Dukakis has been able to cut that deficit ten budgets in a row in the State of Massachusetts, while he lowered the tax burden on their people from one of the highest to one of the lower in the United States."
f000054,407.960,410.100,That is a major sense of achievement.
