HEAD,0.000,9.000,
f000001,9.000,16.840,Good evening from Atlanta and welcome to the vice presidential debate sponsored by the Nonpartisan Commission on Presidential Debates.
f000002,16.840,21.260,It's being held here in the Theater for the Arts on the campus of Georgia Tech.
f000003,21.260,25.500,I'm Hal Bruno from ABC News and I'm going to be moderating tonight's debate.
f000004,25.500,29.360,The participants are Republican Vice President Dan Quayle.
f000005,29.360,32.480,(APPLAUSE)  Democratic Senator Al Gore.
f000006,32.480,53.840,"(APPLAUSE)  And retired Vice Admiral James Stockdale, who is the vice presidential nominee --  (APPLAUSE)  -- for independent candidate Ross Perot."
f000007,53.840,58.800,"(APPLAUSE)  Now, the ground rules for tonight's debate."
f000008,58.800,66.160,Each candidate will have 2 minutes for an opening statement.
n000001,66.160,66.560,(SILENCE)
f000009,66.560,69.160,I will then present the issues to be discussed.
n000002,69.160,69.720,(SILENCE)
f000010,69.720,74.520,"For each topic, the candidates will have a minute and 15 seconds to respond."
f000011,74.520,80.860,Then this will be followed by a 5 minute discussion period in which they can ask questions of each other if they so choose.
f000012,80.860,86.200,"Now, the order of response has been determined by a drawing and we'll rotate with each topic."
f000013,86.200,91.280,"At the end of the debate, each candidate will have 2 minutes for a closing statement."
f000014,91.280,98.460,Our radio and TV audience should know that the candidates were given an equal allocation of auditorium seats for their supporters.
n000003,98.460,98.880,(SILENCE)
f000015,98.880,108.900,So I'd like to ask the audience here in the theater to please refrain from applause or any partisan demonstration once the debate is under way because it takes time away from the candidates.
f000016,108.900,112.360,So with that plea from your moderator let's get started.
f000017,112.360,115.740,And we'll turn first to Senator Gore for his opening statement.
n000004,115.740,116.400,(SILENCE)
f000018,116.400,117.480,Good evening.
f000019,117.480,126.460,It's great to be here in Atlanta for this debate where America will be showcased to the world when the 1996 Olympics are put on right here.
n000005,126.460,127.000,(SILENCE)
f000020,127.000,134.840,"It's appropriate because in a real sense, our discussion this evening will be about what kind of nation we want to be 4 years from now."
n000006,134.840,135.800,(SILENCE)
f000021,135.800,138.440,It's also a pleasure to be with my 2 opponents this evening.
n000007,138.440,139.120,(SILENCE)
f000022,139.120,142.920,"Admiral Stockdale, may I say it's a special honor to share this stage with you."
n000008,142.920,143.640,(SILENCE)
f000023,143.640,150.280,Those of us who served in Vietnam looked at you as a national hero even before you were awarded the Congressional Medal of Honor.
n000009,150.280,151.240,(SILENCE)
f000024,151.240,161.280,"And Mr. Vice President -- Dan, if I may -- it was 16 years ago that you and I went to the Congress on the very first day together."
n000010,161.280,162.120,(SILENCE)
f000025,162.120,163.360,I'll make you a deal this evening.
n000011,163.360,164.040,(SILENCE)
f000026,164.040,170.120,"If you don't try to compare George Bush to Harry Truman, I won't compare you to Jack Kennedy."
f000027,170.120,172.680,(APPLAUSE)  Harry Truman --
f000028,172.680,176.840,Do you remember the last time someone compared themselves to Jack Kennedy?
f000029,176.840,178.480,Do you remember what they said?
n000012,178.480,178.960,(SILENCE)
f000030,178.960,192.840,"Harry Truman, it's worth remembering, assumed the presidency when Franklin Roosevelt died here in Georgia -- only one of many occasions when fate thrust a vice president into the Oval Office in a time of crisis."
n000013,192.840,193.640,(SILENCE)
f000031,193.640,195.920,It's something to think about during the debate this evening.
n000014,195.920,196.800,(SILENCE)
f000032,196.800,200.120,But our real discussion is going to be about change.
n000015,200.120,200.720,(SILENCE)
f000033,200.720,209.200,Bill Clinton and I stand for change because we don't believe our nation can stand 4 more years of what we've had under George Bush and Dan Quayle.
f000034,209.200,221.920,"When the recession came they were like a deer caught in the headlights -- paralyzed into inaction, blinded to the suffering and pain of bankruptcies and people who were unemployed."
f000035,221.920,226.640,"We have an environmental crisis, a health insurance crisis, substandard education."
n000016,226.640,227.080,(SILENCE)
f000036,227.080,229.360,It is time for a change.
n000017,229.360,229.800,(SILENCE)
f000037,229.800,237.080,"Bill Clinton and I want to get our country moving forward again, put our people back to work, and create a bright future for the US of America."
f000038,237.080,242.460,"Okay, the next statement will be from Vice President Quayle."
f000039,242.460,248.960,"Well, thank you, Senator Gore, for reminding me about my performance in the 1988 vice presidential debate."
n000018,248.960,249.720,(SILENCE)
f000040,249.720,254.040,"This is 1992, Bill Clinton is running against President George Bush."
n000019,254.040,254.640,(SILENCE)
f000041,254.640,280.360,"There are 2 things that I'm going to stress during this debate: one, Bill Clinton's economic plan and his agenda will make matters much, much worse -- he will raise your taxes, he will increase spending, he will make government bigger, jobs will be lost; second, Bill Clinton does not have the strength nor the character to be president of the US."
f000042,280.360,282.640,(APPLAUSE)  Let us look at the agendas.
f000043,282.640,288.320,"President Bush wants to hold the line on taxes, Bill Clinton wants to raise taxes."
n000020,288.320,288.920,(SILENCE)
f000044,288.920,291.780,"President Bush is for a balanced budget amendment, Bill Clinton is opposed to it."
n000021,291.780,292.680,(SILENCE)
f000045,292.680,296.640,"We want to reform the legal system because it's too costly, Bill Clinton wants the status quo."
n000022,296.640,297.160,(SILENCE)
f000046,297.160,300.720,"We want to reform the health care system, Bill Clinton wants to ration health care."
n000023,300.720,301.520,(SILENCE)
f000047,301.520,304.520,"Bill Clinton wants to empower government, we want to empower people."
n000024,304.520,305.880,(SILENCE)
f000048,305.880,311.600,"In St. Louis, Missouri, in June of this year, Bill Clinton said this: ""America is the mockery of the world."""
n000025,311.600,312.640,(SILENCE)
f000049,312.640,313.200,He is wrong.
n000026,313.200,314.240,(SILENCE)
f000050,314.240,320.720,At some time during these next 4 years there is going to be a crisis -- there will be an international crisis.
n000027,320.720,321.040,(SILENCE)
f000051,321.040,325.520,"I can't tell you where it's going to be, I can't even tell you the circumstances -- but it will happen."
n000028,325.520,326.320,(SILENCE)
f000052,326.320,331.900,"We need a president who has the experience, who has been tested, who has the integrity and qualifications to handle the crisis."
n000029,331.900,332.720,(SILENCE)
f000053,332.720,336.440,"The president has been tested, the president has the integrity and the character."
n000030,336.440,337.840,(SILENCE)
f000054,337.840,338.640,The choice is yours.
n000031,338.640,339.920,(SILENCE)
f000055,339.920,343.300,You need to have a president you can trust.
n000032,343.300,344.520,(SILENCE)
f000056,344.520,349.880,Can you really trust Bill Clinton?
f000057,349.880,357.040,"Admiral Stockdale, your opening statement, please, sir?"
f000058,357.040,361.240,Who am I?
f000059,361.240,361.480,Why am I here?
f000060,361.480,363.560,(Laughter and applause)  I'm not a politician -- everybody knows that.
n000033,363.560,364.320,(SILENCE)
f000061,364.320,367.600,So don't expect me to use the language of the Washington insider.
n000034,367.600,368.560,(SILENCE)
f000062,368.560,373.520,"Thirty-seven years in the Navy, and only one of them up there in Washington."
f000063,373.520,374.520,And now I'm an academic.
n000035,374.520,376.000,(SILENCE)
f000064,376.000,378.240,The centerpiece of my life was the Vietnam War.
n000036,378.240,379.360,(SILENCE)
f000065,379.360,380.680,I was there the day it started.
n000037,380.680,381.440,(SILENCE)
f000066,381.440,384.960,I led the first bombing raid against North Vietnam.
n000038,384.960,385.840,(SILENCE)
f000067,385.840,388.760,"I was there the day it ended, and I was there for everything in between."
n000039,388.760,389.520,(SILENCE)
f000068,389.520,394.760,"Ten years in Vietnam, aerial combat, and torture."
n000040,394.760,398.160,(SILENCE)
f000069,398.160,403.240,I know things about the Vietnam War better than anybody in the world.
n000041,403.240,404.040,(SILENCE)
f000070,404.040,407.200,I know some things about the Vietnam War better than anybody in the world.
n000042,407.200,408.000,(SILENCE)
