HEAD,0.000,8.000,
f000001,8.000,9.000,Good evening.
f000002,9.000,15.320,Welcome to this third and final debate among the three major candidates for president of the US.
n000001,15.320,16.120,(SILENCE)
f000003,16.120,51.600,"Governor Bill Clinton, the Democratic nominee, President George Bush, the Republican nominee, -- (APPLAUSE)  -- and independent candidate Ross Perot."
f000004,51.600,53.600,(APPLAUSE)  I am Jim Lehrer of the MacNeil-Lehrer Newshour on PBS.
f000005,53.600,59.200,"I will be the moderator for this debate, which is being sponsored by the Commission on Presidential Debates."
f000006,59.200,61.240,It will be 90 minutes long.
f000007,61.240,67.640,It is happening before an audience on the campus of Michigan State University in East Lansing.
f000008,67.640,77.840,"The format was conceived by and agreed to by representatives of the Bush and Clinton campaigns, and it is somewhat different than those used in the earlier debates."
n000002,77.840,78.200,(SILENCE)
f000009,78.200,83.740,I will ask questions for the first half under rules that permit follow-ups.
f000010,83.740,88.800,A panel of 3 other journalists will ask questions in the 2nd half under rules that do not.
n000003,88.800,89.360,(SILENCE)
f000011,89.360,94.380,"As always, each candidate will have 2 minutes, up to 2 minutes, to make a closing statement."
f000012,94.380,100.400,"The order of those, as well as that for the formal questioning, were all determined by a drawing."
n000004,100.400,101.480,(SILENCE)
f000013,101.480,104.780,"Gentlemen, again welcome and again good evening."
n000005,104.780,105.840,(SILENCE)
f000014,105.840,127.480,"It seems, from what some of those voters said at your Richmond debate, and from polling and other data, that each of you, fairly or not, faces serious voter concerns about the underlying credibility and believability of what each of you says you would do as president in the next 4 years."
n000006,127.480,127.800,(SILENCE)
f000015,127.800,149.840,"Governor Clinton, in accordance with the draw, those concerns about you are first: you are promising to create jobs, reduce the deficit, reform the health care system, rebuild the infrastructure, guarantee college education for everyone who is qualified, among many other things, all with financial pain only for the very rich."
n000007,149.840,150.360,(SILENCE)
f000016,150.360,154.160,Some people are having trouble apparently believing that is possible.
n000008,154.160,155.000,(SILENCE)
f000017,155.000,156.080,Should they have that concern?
n000009,156.080,156.720,(SILENCE)
f000018,156.720,156.960,No.
n000010,156.960,158.880,(SILENCE)
f000019,158.880,176.520,"There are many people who believe that the only way we can get this country turned around is to tax the middle class more and punish them more, but the truth is that middle-class Americans are basically the only group of Americans who've been taxed more in the 1980s and during the last 12 years, even though their incomes have gone down."
n000011,176.520,177.200,(SILENCE)
f000020,177.200,182.280,"The wealthiest Americans have been taxed much less, even though their incomes have gone up."
n000012,182.280,183.040,(SILENCE)
f000021,183.040,190.800,"Middle-class people will have their fair share of changing to do, and many challenges to face, including the challenge of becoming constantly re-educated."
n000013,190.800,191.520,(SILENCE)
f000022,191.520,198.680,"But my plan is a departure from trickle-down economics, just cutting taxes on the wealthiest Americans and getting out of the way."
f000023,198.680,205.120,"It's also a departure from tax-and- spend economics, because you can't tax and divide an economy that isn't growing."
n000014,205.120,205.600,(SILENCE)
f000024,205.600,211.520,I propose an American version of what works in other countries -- I think we can do it better: invest and grow.
n000015,211.520,212.040,(SILENCE)
f000025,212.040,236.200,"I believe we can increase investment and reduce the deficit at the same time, if we not only ask the wealthiest Americans and foreign corporations to pay their share; we also provide over $100 billion in tax relief, in terms of incentives for new plants, new small businesses, new technologies, new housing, and for middle class families; and we have $140 billion of spending cuts."
n000016,236.200,236.560,(SILENCE)
f000026,236.560,238.680,Invest and grow.
f000027,238.680,250.100,"Raise some more money, spend the money on tax incentives to have growth in the private sector, take the money from the defense cuts and reinvest it in new transportation and communications and environmental clean-up systems."
f000028,250.100,251.440,This will work.
f000029,251.440,256.480,"On this, as on so many other issues, I have a fundamental difference from the present administration."
n000017,256.480,257.000,(SILENCE)
f000030,257.000,259.560,I don't believe trickle down economics will work.
f000031,259.560,260.800,Unemployment is up.
f000032,260.800,264.380,Most people are working harder for less money than they were making 10 years ago.
