HEAD,0.000,310.000,
f000001,310.000,313.080,"Good evening from the Bushnell Theatre in Hartford, Connecticut."
f000002,313.080,315.840,I'm Jim Lehrer of the News Hour on PBS.
n000001,315.840,316.160,(SILENCE)
f000003,316.160,325.440,"Welcome to the first of the 1996 Presidential debates between President Bill Clinton, the Democratic nominee, and Senator Bob Dole, the Republican nominee."
n000002,325.440,325.960,(SILENCE)
f000004,325.960,329.080,This event is sponsored by the Commission on Presidential Debates.
f000005,329.080,334.960,It will last 90 minutes following a format and rules worked out by the two campaigns.
n000003,334.960,335.360,(SILENCE)
f000006,335.360,338.480,There will be two-minute opening and closing statements.
n000004,338.480,338.880,(SILENCE)
f000007,338.880,343.080,"In between, a series of questions, each having three parts."
n000005,343.080,343.400,(SILENCE)
f000008,343.400,348.400,"A 90-second answer, a 60-second rebuttal, and a 30-second response."
n000006,348.400,348.840,(SILENCE)
f000009,348.840,354.600,I will assist the candidates in adhering to those time limits with the help of a series of lights visible to both.
n000007,354.600,355.360,(SILENCE)
f000010,355.360,359.960,"Under their rules, the candidates are not allowed to question each other directly."
n000008,359.960,360.520,(SILENCE)
f000011,360.520,362.120,I will ask the questions.
f000012,362.120,364.440,There are no limitations on the subjects.
n000009,364.440,364.920,(SILENCE)
f000013,364.920,368.680,The order for everything tonight was determined by coin toss.
n000010,368.680,369.360,(SILENCE)
f000014,369.360,374.560,"Now, to the opening statements and to President Clinton."
f000015,374.560,374.760,Mr. President.
f000016,374.760,375.120,"Thank you, Jim."
f000017,375.120,377.820,"And thank you to the people of Hartford, our hosts."
n000011,377.820,378.560,(SILENCE)
f000018,378.560,389.860,"I want to begin by saying again how much I respect Senator Dole and his record of public service and how hard I will try to make this campaign and this debate one of ideas, not insults."
n000012,389.860,390.920,(SILENCE)
f000019,390.920,396.380,Four years ago I ran for president at a time of high unemployment and rising frustration.
n000013,396.380,397.320,(SILENCE)
f000020,397.320,406.920,"I wanted to turn this country around with a program of opportunity for all, responsibility from all, and an American community where everybody has a role to play."
n000014,406.920,407.920,(SILENCE)
f000021,407.920,413.880,I wanted a government that was smaller and less bureaucratic to help people make the most of their own lives.
n000015,413.880,414.920,(SILENCE)
f000022,414.920,417.640,Four years ago you took me on faith.
n000016,417.640,418.600,(SILENCE)
f000023,418.600,430.360,"Now there's a record: Ten and a half million more jobs, rising incomes, falling crime rates and welfare rolls, a strong America at peace."
f000024,430.360,432.880,We are better off than we were four years ago.
n000017,432.880,433.720,(SILENCE)
f000025,433.720,434.680,Let's keep it going.
n000018,434.680,435.760,(SILENCE)
f000026,435.760,437.560,We cut the deficit by 60 percent.
n000019,437.560,438.240,(SILENCE)
f000027,438.240,443.180,"Now, let's balance the budget and protect Medicare, Medicaid, education and the environment."
f000028,443.180,445.660,We cut taxes for 15 million working Americans.
n000020,445.660,446.160,(SILENCE)
f000029,446.160,452.440,"Now let's pass the tax cuts for education and child rearing, help with medical emergencies, and buying a home."
f000030,452.440,453.960,We passed family and medical leave.
n000021,453.960,454.320,(SILENCE)
f000031,454.320,458.760,Now let's expand it so more people can succeed as parents and in the work force.
f000032,458.760,462.320,"We passed 100,000 police, the assault weapons ban, the Brady Bill."
n000022,462.320,463.360,(SILENCE)
f000033,463.360,469.120,Now let's keep going by finishing the work of putting the police on the street and tackling juvenile gangs.
n000023,469.120,469.800,(SILENCE)
f000034,469.800,471.160,We passed welfare reform.
f000035,471.160,473.780,Now let's move a million people from welfare to work.
f000036,473.780,484.240,"And most important, let's make education our highest priority so that every eight-year-old will be able to read, every 12-year-old can log onto the Internet, every 18-year-old can go to college."
n000024,484.240,484.640,(SILENCE)
f000037,484.640,486.800,We can build that bridge to the 21st Century.
n000025,486.800,487.240,(SILENCE)
f000038,487.240,490.580,And I look forward to discussing exactly how we're going to do it.
n000026,490.580,492.680,(SILENCE)
f000039,492.680,493.780,"Senator Dole, two minutes."
n000027,493.780,494.200,(SILENCE)
f000040,494.200,494.480,Thank you.
f000041,494.480,497.380,"Thank you, Mr. President, for those kind words."
f000042,497.380,505.560,"Thank the people of Hartford, the Commission, and all those out here who may be listening or watching."
n000028,505.560,506.800,(SILENCE)
f000043,506.800,510.480,It's a great honor for me to be here standing here as the Republican nominee.
n000029,510.480,511.560,(SILENCE)
f000044,511.560,515.480,I'm very proud to be the Republican nominee reaching out to Democrats and Independents.
n000030,515.480,516.960,(SILENCE)
f000045,516.960,533.960,"I have three very special people with me tonight: My wife, Elizabeth; my daughter, Robin, who has never let me down, and a fellow named Frank Carafa from New York, along with Ollie Manninen who helped me out in the mountains of Italy a few years back."
n000031,533.960,535.400,(SILENCE)
f000046,535.400,538.800,I've learned from them that people do have tough times.
n000032,538.800,540.280,(SILENCE)
f000047,540.280,541.760,And sometimes you can't go it alone.
f000048,541.760,545.120,And that's what America is all about.
n000033,545.120,547.040,(SILENCE)
f000049,547.040,553.080,I remember getting my future back from doctors and nurses and a doctor in Chicago named Dr. Kalikian .
n000034,553.080,554.200,(SILENCE)
f000050,554.200,562.600,"And ever since that time, I've tried to give something back to my country, to the people who are watching us tonight."
n000035,562.600,564.720,(SILENCE)
f000051,564.720,566.720,America is the greatest place on the face of the earth.
n000036,566.720,568.920,(SILENCE)
f000052,568.920,571.760,"Now, I know millions of you still have anxieties."
n000037,571.760,573.680,(SILENCE)
f000053,573.680,578.080,You work harder and harder to make ends meet and put food on the table.
n000038,578.080,579.520,(SILENCE)
f000054,579.520,583.640,"You worry about the quality and the safety of your children, and the quality of education."
n000039,583.640,584.640,(SILENCE)
f000055,584.640,590.200,"But even more importantly, you worry about the future and will they have the same opportunities that you and I have had."
n000040,590.200,592.320,(SILENCE)
f000056,592.320,594.800,And Jack Kemp and I want to share with you some ideas tonight.
n000041,594.800,596.480,(SILENCE)
f000057,596.480,599.440,"Jack Kemp is my running mate, doing an outstanding job."
n000042,599.440,600.600,(SILENCE)
f000058,600.600,607.700,"Now, I'm a plain-speaking man and I learned long ago that your word was your bond."
f000059,607.700,612.100,And I promise you tonight that I'll try to address your concerns and not try to exploit them.
n000043,612.100,612.680,(SILENCE)
f000060,612.680,618.320,"It's a tall order, but I've been running against the odds for a long time and, again, I'm honored to be here this evening."
f000061,618.320,622.180,"Mr. President, first question."
f000062,622.180,628.660,There is a major difference in your view of the role of the Federal government and that of Senator Dole.
f000063,628.660,633.520,How would you define the difference?
f000064,633.520,642.320,"Well, Jim, I believe that the Federal government should give people the tools and try to establish the conditions in which they can make the most of their own lives."
n000044,642.320,643.040,(SILENCE)
f000065,643.040,644.360,"That, to me, is the key."
n000045,644.360,645.160,(SILENCE)
f000066,645.160,647.960,And that leads me to some different conclusions from Senator Dole.
n000046,647.960,648.840,(SILENCE)
f000067,648.840,653.300,"For example, we have reduced the size of the Federal government to its smallest size in 30 years."
n000047,653.300,653.800,(SILENCE)
f000068,653.800,658.580,"We reduced more regulations, eliminated more programs than my two Republican predecessors."
n000048,658.580,658.960,(SILENCE)
f000069,658.960,669.480,"But I have worked hard for things like the Family and Medical Leave Law, the Brady Bill, the assault weapons ban, the program to put 100,000 police on the street."
n000049,669.480,670.280,(SILENCE)
