HEAD,0.000,7.000,
f000001,7.000,12.100,"Good evening from the Shiley Theatre at the University of San Diego, San Diego, California."
n000001,12.100,12.560,(SILENCE)
f000002,12.560,15.240,I'm Jim Lehrer of the News Hour on PBS.
f000003,15.240,25.640,"Welcome to this second 1996 presidential debate between Senator Bob Dole, the Republican nominee, and President Bill Clinton, the Democratic nominee."
f000004,25.640,29.840,It is sponsored by the Commission on Presidential Debates.
f000005,29.840,32.520,We will follow a town-hall type format tonight.
f000006,32.520,38.640,The questions over the next 90 minutes will come from citizens of the greater San Diego area.
n000002,38.640,39.240,(SILENCE)
f000007,39.240,49.500,"They were chosen in the past week by the Gallup organization to represent a rough cross section of voters as to political views, age, gender and other factors."
f000008,49.500,53.960,Each said he or she is undecided about this presidential race.
n000003,53.960,54.560,(SILENCE)
f000009,54.560,56.640,They were told to come tonight with questions.
n000004,56.640,57.080,(SILENCE)
f000010,57.080,62.200,Nobody from the debate commission or the two campaigns has any idea what those questions are.
f000011,62.200,63.600,Neither do I.
n000005,63.600,64.200,(SILENCE)
f000012,64.200,68.640,We will all be hearing them for the first time at the same time.
f000013,68.640,73.800,"I met with this group three hours ago, and we spoke only about how it was going to work tonight."
n000006,73.800,74.480,(SILENCE)
f000014,74.480,76.280,They are sitting in five sections.
n000007,76.280,76.840,(SILENCE)
f000015,76.840,85.500,"I will call on individuals at random, moving from one section to another with each new question, alternating the questions between the two candidates."
n000008,85.500,86.160,(SILENCE)
f000016,86.160,91.880,My job is to keep things fair and the subjects as clear and as varied as possible.
n000009,91.880,92.680,(SILENCE)
f000017,92.680,104.060,"The rules, drawn by the campaigns, are basically the same as they were for the Hartford and St. Petersburg debates; 90 second-answers, 60 -second rebuttals, 30-second responses for each question."
f000018,104.060,106.600,The candidates are not allowed to question each other directly.
n000010,106.600,107.360,(SILENCE)
f000019,107.360,110.180,There will be two-minute opening and closing statements.
f000020,110.180,112.800,The order for this evening was set by coin toss.
n000011,112.800,113.440,(SILENCE)
f000021,113.440,115.880,We begin now with Senator Dole and his opening statement.
f000022,115.880,116.920,Senator Dole.
n000012,116.920,118.200,(SILENCE)
f000023,118.200,119.120,"Thank you very much, Jim."
n000013,119.120,120.960,(SILENCE)
f000024,120.960,122.520,Let me first give you a sports update.
n000014,122.520,124.160,(SILENCE)
f000025,124.160,130.420,"The Braves, one; the Cardinals, nothing, early on."
f000026,130.420,132.520,I want to thank you and I want to thank everybody here tonight.
f000027,132.520,141.200,"I want to give a special thanks to my wife Elizabeth, my daughter Robin for their love and support, and thank the people who are listening and watching all over America."
n000015,141.200,142.920,(SILENCE)
f000028,142.920,149.160,"In 20 days, you will help decide who will lead this country into the next century."
n000016,149.160,151.160,(SILENCE)
f000029,151.160,152.440,It's an awesome responsibility.
n000017,152.440,154.640,(SILENCE)
f000030,154.640,157.520,"And you must ask yourself, do you know enough about the candidates?"
f000031,157.520,159.020,You should know as much as possible about each of us.
f000032,159.020,162.680,Sometimes the views have been distorted.
n000018,162.680,163.920,(SILENCE)
f000033,163.920,169.280,There's been millions and millions of dollars of negative advertising spent distorting my views.
f000034,169.280,176.680,But I hope tonight you will get a better feel of who Bob Dole is and what he's all about.
f000035,176.680,183.320,And I think first you should -- I should understand that the question on your mind is do I understand your problem.
n000019,183.320,185.120,(SILENCE)
f000036,185.120,190.000,"Would I understand it if it occurred to me, and I might just say I'm from a large family."
n000020,190.000,190.920,(SILENCE)
f000037,190.920,197.060,"I got lots of relatives and they're good, average, middle-class, hardworking Americans."
f000038,197.060,198.280,They live all across the country.
n000021,198.280,200.240,(SILENCE)
f000039,200.240,200.960,They're not all Republicans.
n000022,200.960,202.920,(SILENCE)
f000040,202.920,204.120,Maybe all but one.
f000041,204.120,211.880,"But in any event, I understand the problems."
f000042,211.880,231.360,"Whether it's two parents working because one has to pay the taxes and one has to provide for the family, whether it's a single parent who just barely pays the pressing bills or whether you're worried about an education for your children going to the best schools, or whether you're worried about safe playgrounds, drug-free schools, crime-free schools."
n000023,231.360,232.280,(SILENCE)
f000043,232.280,233.840,This is what this election is all about.
n000024,233.840,234.800,(SILENCE)
f000044,234.800,243.000,And hopefully tonight when we conclude this debate you will have a better understanding and the viewing and listening audience will have a better understanding.
n000025,243.000,244.400,(SILENCE)
f000045,244.400,244.840,Thank you.
f000046,244.840,248.120,"Mr. President, two minutes, opening statement."
f000047,248.120,249.680,"I was going to applaud, too."
f000048,249.680,251.680,"Well, thank you, Jim."
f000049,251.680,261.920,And thanks to the people of San Diego for giving us this opportunity to have another discussion about the decision we all face in front of people who will make the decision.
n000026,261.920,263.640,(SILENCE)
f000050,263.640,267.800,"Again, I will say I will do my best to make this a discussion of ideas and issues, not insults."
n000027,267.800,268.960,(SILENCE)
f000051,268.960,278.440,"What really matters is what happens to your future and what happens to our country as we stand on the brink of a new century, a time of extraordinary possibility."
n000028,278.440,281.040,(SILENCE)
f000052,281.040,297.640,"I have a simple philosophy that I tried to follow for the last four years: Do what creates opportunity for all, what reinforces responsibility from all of us, and what will help us build a community where everybody's got a role to play and a place at the table."
f000053,297.640,299.620,"Compared to four years ago, we're clearly better off."
n000029,299.620,300.960,(SILENCE)
f000054,300.960,305.000,"We've got ten and a half million more jobs, the deficit's been reduced by 60 percent."
n000030,305.000,305.640,(SILENCE)
