HEAD,0.000,7.000,
f000001,7.000,17.840,"From historic Danville, Kentucky, good evening, and welcome to this year's only vice presidential debate sponsored by the Commission on Presidential Debates."
n000001,17.840,18.480,(SILENCE)
f000002,18.480,20.780,"I'm Bernard Shaw of CNN, moderator."
n000002,20.780,22.200,(SILENCE)
f000003,22.200,28.080,Tonight we come to you from Newlin hall in the Norton Center for the Arts on the campus of Centre College.
n000003,28.080,29.120,(SILENCE)
f000004,29.120,37.800,"To President John Rausch, the faculty, students and community leaders state-wide, we thank you for hosting this debate."
n000004,37.800,39.640,(SILENCE)
f000005,39.640,53.820,"The candidates are the Republican nominee, former Defense Secretary Dick Cheney of Wyoming, and the Democratic nominee, Senator Joseph Lieberman of Connecticut."
f000006,53.820,58.680,"The Commission, these candidates and their campaign staffs have agreed to the following rules."
n000005,58.680,59.920,(SILENCE)
f000007,59.920,64.080,A candidate shall have two minutes to respond to the moderator's question.
n000006,64.080,65.240,(SILENCE)
f000008,65.240,70.440,The other candidate shall have two minutes to comment on the question or the first candidate's answer.
n000007,70.440,71.880,(SILENCE)
f000009,71.880,81.360,"When I exercise the moderator's discretion of extending discussion of a question, no candidate may speak for more than two minutes at one time."
n000008,81.360,82.520,(SILENCE)
f000010,82.520,87.880,This audience has been told no disruptions will be tolerated.
f000011,87.880,93.060,A prior coin toss has determined that the first question will go to the Democratic candidate.
n000009,93.060,95.960,(SILENCE)
f000012,95.960,105.960,"Senator, few hard working Americans would base their well-being on bonuses they hope to get five or ten years from now."
n000010,105.960,107.480,(SILENCE)
f000013,107.480,119.820,"Why do you, and you, Secretary Cheney, predict surpluses you cannot possibly guarantee to pay for your proposed programs?"
f000014,119.820,125.680,"Before I answer that very important question, let me first thank you for moderating the debate."
n000011,125.680,126.080,(SILENCE)
f000015,126.080,143.400,"Let me thank the wonderful people here at Centre College and throughout Kentucky for being such gracious hosts, and let me give a special thank you to the people of Connecticut without whose support over these last 30 years I would never have had the opportunity Al Gore has given me this year."
f000016,143.400,147.520,And finally let me thank my family that is here with me.
n000012,147.520,148.040,(SILENCE)
