HEAD,0.000,7.000,
f000001,7.000,11.040,Good evening from the Field House at Washington University in St. Louis.
f000002,11.040,14.400,I'm Jim Lehrer of the NewsHour on PBS.
n000001,14.400,14.880,(SILENCE)
f000003,14.880,27.300,"And I welcome you to this third and final Campaign 2000 debate between the Democratic candidate for president, Vice President Al Gore, and the Republican candidate, Governor George W. Bush of Texas."
f000004,27.300,28.500,Let's welcome the candidates now.
f000005,28.500,84.120,"[Applause]  Before proceeding tonight we would like to observe a moment of silence in memory of Governor Mel Carnahan of Missouri, who along with his son and his former chief of staff, died in a private plane crash last night near St. Louis."
n000002,84.120,106.040,(SILENCE)
f000006,106.040,112.920,"A reminder, as we continue now, that these debates are sponsored by the Commission on Presidential Debates."
n000003,112.920,113.320,(SILENCE)
f000007,113.320,117.980,The formats and the rules were worked out by the commission and the two campaigns.
n000004,117.980,118.720,(SILENCE)
f000008,118.720,127.920,Tonight's questions will be asked by St. Louis area voters who were identified as being uncommitted by the Gallup organization.
f000009,127.920,133.400,Earlier today each of them wrote a question on a small card like this.
n000005,133.400,133.920,(SILENCE)
f000010,133.920,136.960,Those cards were collected and then given to me this afternoon.
f000011,136.960,146.400,"My job, under the rules of the evening, was to decide the order the questions will be asked and to call on the questioners accordingly."
n000006,146.400,146.760,(SILENCE)
f000012,146.760,152.080,I also have the option of asking follow-ups which -- in order to get to more of the panel's questions.
n000007,152.080,152.640,(SILENCE)
f000013,152.640,156.260,"For the record, I plan to do sparingly and mostly for clarifications."
n000008,156.260,156.920,(SILENCE)
f000014,156.920,160.440,The audience participants are bound by the following rule.
n000009,160.440,161.040,(SILENCE)
f000015,161.040,166.280,They shall not ask follow-up questions or otherwise participate in the extended discussion.
n000010,166.280,166.880,(SILENCE)
f000016,166.880,174.040,And the questioner's microphone will be turned off after he or she completes asking the question.
f000017,174.040,174.880,Those are the rules.
n000011,174.880,175.400,(SILENCE)
f000018,175.400,182.360,"As in Winston-Salem last week, no single answer or response from a candidate can exceed two minutes."
n000012,182.360,182.880,(SILENCE)
f000019,182.880,192.160,"There is an audience here in the hall and they have promised to remain absolutely quiet, as did their predecessors this year in Boston, Danville, and Winston-Salem."
n000013,192.160,193.160,(SILENCE)
f000020,193.160,196.640,"Before we begin, a correction from last week's debate."
f000021,196.640,203.140,I was wrong when I said Vice President Gore's campaign commercials had called Governor Bush a bumbler.
f000022,203.140,211.320,"That specific charge was made in a press statement by Gore campaign spokesman Mark Fabiani, not in a TV Guide."
n000014,211.320,212.120,(SILENCE)
f000023,212.120,215.440,I'm glad you clarified that.
f000024,215.440,219.560,"Now, let's go to the first question."
