HEAD,0.000,8.000,
f000001,8.000,11.880,Good evening from the Field House at Washington University in St. Louis.
f000002,11.880,15.720,"I'm Charles Gibson of ABC News and ""Good Morning America."""
n000001,15.720,16.240,(SILENCE)
f000003,16.240,25.680,"I welcome you to the second of the 2004 presidential debates between President George W. Bush, the Republican nominee, and Senator John Kerry, the Democratic nominee."
n000002,25.680,26.240,(SILENCE)
f000004,26.240,29.640,The debates are sponsored by the Commission on Presidential Debates.
n000003,29.640,30.200,(SILENCE)
f000005,30.200,32.520,Tonight's format is going to be a bit different.
f000006,32.520,34.700,We have assembled a town-hall meeting.
n000004,34.700,35.680,(SILENCE)
f000007,35.680,40.740,"We're in the Show-Me State, as everyone knows Missouri to be, so Missouri residents will ask the questions."
n000005,40.740,41.440,(SILENCE)
f000008,41.440,47.960,These 140 citizens were identified by the Gallup Organization as not yet committed in this election.
n000006,47.960,48.640,(SILENCE)
f000009,48.640,58.760,"Now, earlier today, each audience member gave me two questions on cards like this, one they'd like to ask the president, the other they'd like to ask the senator."
n000007,58.760,59.520,(SILENCE)
f000010,59.520,63.000,I have selected the questions to be asked and the order.
n000008,63.000,63.640,(SILENCE)
f000011,63.640,68.540,"No one has seen the final list of questions but me, certainly not the candidates."
n000009,68.540,69.280,(SILENCE)
f000012,69.280,72.260,No audience member knows if he or she will be called upon.
f000013,72.260,76.100,Audience microphones will be turned off after a question is asked.
n000010,76.100,76.920,(SILENCE)
f000014,76.920,79.800,Audience members will address their question to a specific candidate.
f000015,79.800,81.080,He'll have two minutes to answer.
n000011,81.080,81.520,(SILENCE)
f000016,81.520,83.940,The other candidate will have a minute and a half for rebuttal.
f000017,83.940,89.200,"And I have the option of extending discussion for one minute, to be divided equally between the two men."
n000012,89.200,89.720,(SILENCE)
f000018,89.720,91.760,All subjects are open for discussion.
n000013,91.760,92.200,(SILENCE)
f000019,92.200,94.400,And you probably know the light system by now.
f000020,94.400,99.800,"Green light at 30 seconds, yellow at 15, red at five, and flashing red means you're done."
n000014,99.800,100.560,(SILENCE)
f000021,100.560,102.160,Those are the candidates' rules.
f000022,102.160,106.760,"I will hold the candidates to the time limits forcefully but politely, I hope."
f000023,106.760,112.940,"And now, please join me in welcoming with great respect, President Bush and Senator Kerry."
f000024,112.940,154.600,"(APPLAUSE)  Gentlemen, to the business at hand."
f000025,154.600,160.740,"The first question is for Senator Kerry, and it will come from Cheryl Otis, who is right behind me."
f000026,160.740,175.420,"Senator Kerry, after talking with several co-workers and family and friends, I asked the ones who said they were not voting for you, ""Why?"""
f000027,175.420,177.980,They said that you were too wishy-washy.
f000028,177.980,180.040,Do you have a reply for them?
n000015,180.040,181.240,(SILENCE)
f000029,181.240,182.920,"Yes, I certainly do."
f000030,182.920,188.360,"(LAUGHTER)  But let me just first, Cheryl, if you will, I want to thank Charlie for moderating."
n000016,188.360,189.000,(SILENCE)
f000031,189.000,192.080,I want to thank Washington University for hosting us here this evening.
n000017,192.080,192.760,(SILENCE)
f000032,192.760,195.860,"Mr. President, it's good to be with you again this evening, sir."
f000033,195.860,207.760,"Cheryl, the president didn't find weapons of mass destruction in Iraq, so he's really turned his campaign into a weapon of mass deception."
f000034,207.760,214.560,And the result is that you've been bombarded with advertisements suggesting that I've changed a position on this or that or the other.
n000018,214.560,215.360,(SILENCE)
f000035,215.360,219.220,"Now, the three things they try to say I've changed position on are the Patriot Act; I haven't."
f000036,219.220,219.420,I support it.
n000019,219.420,219.920,(SILENCE)
f000037,219.920,224.240,"I just don't like the way John Ashcroft has applied it, and we're going to change a few things."
n000020,224.240,224.640,(SILENCE)
f000038,224.640,227.160,The chairman of the Republican Party thinks we ought to change a few things.
n000021,227.160,228.160,(SILENCE)
f000039,228.160,231.060,"No Child Left Behind Act, I voted for it."
f000040,231.060,232.500,I support it.
f000041,232.500,233.160,I support the goals.
f000042,233.160,236.660,But the president has underfunded it by $28 billion.
f000043,236.660,239.720,"Right here in St. Louis, you've laid off 350 teachers."
n000022,239.720,240.160,(SILENCE)
f000044,240.160,250.060,"You're 150 -- excuse me, I think it's a little more, about $100 million shy of what you ought to be under the No Child Left Behind Act to help your education system here."
f000045,250.060,251.680,So I complain about that.
f000046,251.680,253.360,I've argued that we should fully funded it.
f000047,253.360,255.080,The president says I've changed my mind.
f000048,255.080,259.360,I haven't changed my mind: I'm going to fully fund it.
f000049,259.360,260.220,So these are the differences.
f000050,260.220,265.540,"Now, the president has presided over an economy where we've lost 1.6 million jobs."
n000023,265.540,266.400,(SILENCE)
f000051,266.400,268.800,The first president in 72 years to lose jobs.
n000024,268.800,269.280,(SILENCE)
f000052,269.280,270.820,I have a plan to put people back to work.
f000053,270.820,271.920,That's not wishy- washy.
n000025,271.920,272.720,(SILENCE)
f000054,272.720,278.760,I'm going to close the loopholes that actually encourage companies to go overseas.
n000026,278.760,279.320,(SILENCE)
f000055,279.320,281.780,The president wants to keep them open.
f000056,281.780,282.720,I think I'm right.
f000057,282.720,283.520,I think he's wrong.
n000027,283.520,284.320,(SILENCE)
f000058,284.320,285.420,I'm going to give you a tax cut.
f000059,285.420,297.660,"The president gave the top 1 percent of income-earners in America, got $89 billion last year, more than the 80 percent of people who earn $100,000 or less all put together."
n000028,297.660,298.120,(SILENCE)
f000060,298.120,298.960,I think that's wrong.
n000029,298.960,299.320,(SILENCE)
f000061,299.320,301.720,"That's not wishy-washy, and that's what I'm fighting for, you."
n000030,301.720,303.200,(SILENCE)
f000062,303.200,304.300,"Mr. President, a minute and a half."
f000063,304.300,306.360,"Charlie, thank you, and thank our panelists."
n000031,306.360,307.200,(SILENCE)
f000064,307.200,309.680,"And, Senator, thank you."
f000065,309.680,312.360,"I can -- and thanks, Washington U. as well."
f000066,312.360,317.920,"I can see why people at your workplace think he changes positions a lot, because he does."
n000032,317.920,319.240,(SILENCE)
f000067,319.240,326.320,"He said he voted for the $87 billion, and voted against it right before he voted for it."
f000068,326.320,327.880,And that sends a confusing signal to people.
n000033,327.880,329.200,(SILENCE)
f000069,329.200,333.880,"He said he thought Saddam Hussein was a grave threat, and now he said it was a mistake to remove Saddam Hussein from power."
n000034,333.880,335.480,(SILENCE)
f000070,335.480,340.400,"No, I can see why people think that he changes position quite often, because he does."
n000035,340.400,342.600,(SILENCE)
f000071,342.600,345.400,"You know, for a while he was a strong supporter of getting rid of Saddam Hussein."
n000036,345.400,346.840,(SILENCE)
f000072,346.840,358.160,"He saw the wisdom -- until the Democrat primary came along and Howard Dean, the anti-war candidate, began to gain on him, and he changed positions."
n000037,358.160,359.640,(SILENCE)
f000073,359.640,367.440,"I don't see how you can lead this country in a time of war, in a time of uncertainty, if you change your mind because of politics."
n000038,367.440,368.800,(SILENCE)
f000074,368.800,370.040,He just brought up the tax cut.
n000039,370.040,371.960,(SILENCE)
f000075,371.960,383.000,"You remember we increased that child credit by $1,000, reduced the marriage penalty, created a 10 percent tax bracket for the lower-income Americans."
n000040,383.000,384.080,(SILENCE)
f000076,384.080,385.280,That's right at the middle class.
n000041,385.280,386.360,(SILENCE)
f000077,386.360,387.300,He voted against it.
f000078,387.300,389.460,And yet he tells you he's for a middle- class tax cut.
f000079,389.460,392.280,It's -- you've got to be consistent when you're the president.
f000080,392.280,393.600,There's a lot of pressures.
n000042,393.600,394.400,(SILENCE)
f000081,394.400,396.980,And you've got to be firm and consistent.
n000043,396.980,398.240,(SILENCE)
f000082,398.240,404.380,"Mr. President, I would follow up, but we have a series of questions on Iraq, and so I will turn to the next questioner."
n000044,404.380,405.000,(SILENCE)
f000083,405.000,413.780,"The question is for President Bush, and the questioner is Robin Dahle."
n000045,413.780,414.360,(SILENCE)
f000084,414.360,435.520,"Mr. President, yesterday in a statement you admitted that Iraq did not have weapons of mass destruction, but justified the invasion by stating, I quote, ""He retained the knowledge, the materials, the means and the intent to produce weapons of mass destruction and could have passed this knowledge to our terrorist enemies."""
f000085,435.520,446.220,"Do you sincerely believe this to be a reasonable justification for invasion when this statement applies to so many other countries, including North Korea?"
n000046,446.220,447.880,(SILENCE)
f000086,447.880,451.200,"Each situation is different, Robin."
f000087,451.200,454.600,And obviously we hope that diplomacy works before you ever use force.
n000047,454.600,454.960,(SILENCE)
f000088,454.960,457.880,The hardest decision a president makes is ever to use force.
n000048,457.880,459.360,(SILENCE)
f000089,459.360,463.120,"After 9/11, we had to look at the world differently."
f000090,463.120,470.000,"After 9/11, we had to recognize that when we saw a threat, we must take it seriously before it comes to hurt us."
f000091,470.000,474.420,"In the old days we'd see a threat, and we could deal with it if we felt like it or not."
f000092,474.420,475.920,But 9/11 changed it all.
n000049,475.920,476.800,(SILENCE)
f000093,476.800,480.480,I vowed to our countrymen that I would do everything I could to protect the American people.
f000094,480.480,482.280,That's why we're bringing Al Qaida to justice.
f000095,482.280,485.240,Seventy five percent of them have been brought to justice.
n000050,485.240,485.720,(SILENCE)
f000096,485.720,490.040,"That's why I said to Afghanistan: If you harbor a terrorist, you're just as guilty as the terrorist."
n000051,490.040,491.120,(SILENCE)
f000097,491.120,495.120,"And the Taliban is no longer in power, and Al Qaida no longer has a place to plan."
n000052,495.120,495.600,(SILENCE)
f000098,495.600,502.440,"And I saw a unique threat in Saddam Hussein, as did my opponent, because we thought he had weapons of mass destruction."
f000099,502.440,512.380,"And the unique threat was that he could give weapons of mass destruction to an organization like Al Qaida, and the harm they inflicted on us with airplanes would be multiplied greatly by weapons of mass destruction."
n000053,512.380,513.480,(SILENCE)
f000100,513.480,515.320,"And that was the serious, serious threat."
n000054,515.320,516.840,(SILENCE)
f000101,516.840,519.640,"So I tried diplomacy, went to the United Nations."
n000055,519.640,520.160,(SILENCE)
f000102,520.160,528.280,"But as we learned in the same report I quoted, Saddam Hussein was gaming the oil-for-food program to get rid of sanctions."
n000056,528.280,529.640,(SILENCE)
f000103,529.640,535.160,He was trying to get rid of sanctions for a reason: He wanted to restart his weapons programs.
n000057,535.160,536.600,(SILENCE)
f000104,536.600,538.180,"We all thought there was weapons there, Robin."
n000058,538.180,539.280,(SILENCE)
f000105,539.280,540.800,My opponent thought there was weapons there.
f000106,540.800,542.600,That's why he called him a grave threat.
n000059,542.600,544.240,(SILENCE)
f000107,544.240,551.760,"I wasn't happy when we found out there wasn't weapons, and we've got an intelligence group together to figure out why."
n000060,551.760,553.680,(SILENCE)
f000108,553.680,555.320,But Saddam Hussein was a unique threat.
n000061,555.320,556.600,(SILENCE)
f000109,556.600,558.760,And the world is better off without him in power.
n000062,558.760,559.920,(SILENCE)
f000110,559.920,569.380,"And my opponent's plans lead me to conclude that Saddam Hussein would still be in power, and the world would be more dangerous."
n000063,569.380,570.840,(SILENCE)
f000111,570.840,571.900,"Thank you, sir."
f000112,571.900,573.240,"Senator Kerry, a minute and a half."
f000113,573.240,574.560,"Robin, I'm going to answer your question."
f000114,574.560,578.600,"I'm also going to talk -- respond to what you asked, Cheryl, at the same time."
n000064,578.600,580.760,(SILENCE)
f000115,580.760,582.320,The world is more dangerous today.
n000065,582.320,583.920,(SILENCE)
f000116,583.920,589.080,The world is more dangerous today because the president didn't make the right judgments.
f000117,589.080,591.600,"Now, the president wishes that I had changed my mind."
f000118,591.600,596.960,He wants you to believe that because he can't come here and tell you that he's created new jobs for America.
f000119,596.960,597.740,He's lost jobs.
n000066,597.740,598.480,(SILENCE)
f000120,598.480,607.960,"He can't come here and tell you that he's created health care for Americans because, what, we've got 5 million Americans who have lost their health care, 96,000 of them right here in Missouri."
