HEAD,0.000,8.000,
f000001,8.000,15.040,Good evening from the Ford Center for the Performing Arts at the University of Mississippi in Oxford.
n000001,15.040,15.440,(SILENCE)
f000002,15.440,31.280,"I'm Jim Lehrer of the NewsHour on PBS, and I welcome you to the first of the 2008 presidential debates between the Republican nominee, Senator John McCain of Arizona, and the Democratic nominee, Senator Barack Obama of Illinois."
n000002,31.280,31.880,(SILENCE)
f000003,31.880,40.720,The Commission on Presidential Debates is the sponsor of this event and the three other presidential and vice presidential debates coming in October.
n000003,40.720,41.520,(SILENCE)
f000004,41.520,51.240,"Tonight's will primarily be about foreign policy and national security, which, by definition, includes the global financial crisis."
n000004,51.240,51.600,(SILENCE)
f000005,51.600,54.800,It will be divided roughly into nine-minute segments.
n000005,54.800,55.240,(SILENCE)
f000006,55.240,67.840,Direct exchanges between the candidates and moderator follow-ups are permitted after each candidate has two minutes to answer the lead question in an order determined by a coin toss.
n000006,67.840,68.400,(SILENCE)
f000007,68.400,71.840,The specific subjects and questions were chosen by me.
n000007,71.840,72.160,(SILENCE)
f000008,72.160,75.640,They have not been shared or cleared with anyone.
n000008,75.640,76.360,(SILENCE)
f000009,76.360,85.720,"The audience here in the hall has promised to remain silent, no cheers, no applause, no noise of any kind, except right now, as we welcome Senators Obama and McCain."
f000010,85.720,109.760,(APPLAUSE)  Let me begin with something General Eisenhower said in his 1952 presidential campaign.
f000011,109.760,113.940,"Quote, ""We must achieve both security and solvency."
f000012,113.940,121.960,"In fact, the foundation of military strength is economic strength,"" end quote."
n000009,121.960,122.520,(SILENCE)
f000013,122.520,124.920,"With that in mind, the first lead question."
n000010,124.920,125.400,(SILENCE)
f000014,125.400,139.280,"Gentlemen, at this very moment tonight, where do you stand on the financial recovery plan?"
n000011,139.280,139.760,(SILENCE)
f000015,139.760,142.720,"First response to you, Senator Obama."
f000016,142.720,143.580,You have two minutes.
f000017,143.580,149.680,"Well, thank you very much, Jim, and thanks to the commission and the University of Mississippi, Ole Miss, for hosting us tonight."
n000012,149.680,150.000,(SILENCE)
f000018,150.000,155.240,I can't think of a more important time for us to talk about the future of the country.
f000019,155.240,159.480,"You know, we are at a defining moment in our history."
f000020,159.480,166.240,"Our nation is involved in two wars, and we are going through the worst financial crisis since the Great Depression."
f000021,166.240,177.480,"And although we've heard a lot about Wall Street, those of you on Main Street I think have been struggling for a while, and you recognize that this could have an impact on all sectors of the economy."
f000022,177.480,179.680,"And you're wondering, how's it going to affect me?"
f000023,179.680,180.960,How's it going to affect my job?
f000024,180.960,182.160,How's it going to affect my house?
n000013,182.160,182.560,(SILENCE)
f000025,182.560,186.620,How's it going to affect my retirement savings or my ability to send my children to college?
n000014,186.620,187.280,(SILENCE)
f000026,187.280,192.000,"So we have to move swiftly, and we have to move wisely."
f000027,192.000,200.220,And I've put forward a series of proposals that make sure that we protect taxpayers as we engage in this important rescue effort.
n000015,200.220,200.840,(SILENCE)
f000028,200.840,207.600,"Number one, we've got to make sure that we've got oversight over this whole process; $700 billion, potentially, is a lot of money."
n000016,207.600,208.160,(SILENCE)
f000029,208.160,221.080,"Number two, we've got to make sure that taxpayers, when they are putting their money at risk, have the possibility of getting that money back and gains, if the market -- and when the market returns."
f000030,221.080,228.840,"Number three, we've got to make sure that none of that money is going to pad CEO bank accounts or to promote golden parachutes."
n000017,228.840,229.520,(SILENCE)
f000031,229.520,237.260,"And, number four, we've got to make sure that we're helping homeowners, because the root problem here has to do with the foreclosures that are taking place all across the country."
f000032,237.260,258.340,"Now, we also have to recognize that this is a final verdict on eight years of failed economic policies promoted by George Bush, supported by Senator McCain, a theory that basically says that we can shred regulations and consumer protections and give more and more to the most, and somehow prosperity will trickle down."
f000033,258.340,260.120,It hasn't worked.
n000018,260.120,260.640,(SILENCE)
f000034,260.640,267.160,And I think that the fundamentals of the economy have to be measured by whether or not the middle class is getting a fair shake.
f000035,267.160,270.540,"That's why I'm running for president, and that's what I hope we're going to be talking about tonight."
n000019,270.540,271.360,(SILENCE)
f000036,271.360,272.080,"Senator McCain, two minutes."
f000037,272.080,273.600,"Well, thank you, Jim."
f000038,273.600,275.120,And thanks to everybody.
f000039,275.120,277.920,And I do have a sad note tonight.
f000040,277.920,280.860,Senator Kennedy is in the hospital.
n000020,280.860,281.560,(SILENCE)
f000041,281.560,283.680,He's a dear and beloved friend to all of us.
f000042,283.680,287.560,Our thoughts and prayers go out to the lion of the Senate.
n000021,287.560,288.080,(SILENCE)
f000043,288.080,293.840,I also want to thank the University of Mississippi for hosting us tonight.
n000022,293.840,294.880,(SILENCE)
f000044,294.880,299.680,"And, Jim, I -- I've been not feeling too great about a lot of things lately."
f000045,299.680,302.400,So have a lot of Americans who are facing challenges.
