HEAD,0.000,7.000,
f000001,7.000,11.240,"Good evening from Washington University in St. Louis, Missouri."
f000002,11.240,15.100,"I'm Gwen Ifill of ""The NewsHour"" and ""Washington Week"" on PBS."
n000001,15.100,15.640,(SILENCE)
f000003,15.640,26.560,"Welcome to the first and the only 2008 vice presidential debate between the Republican nominee, Governor Sarah Palin of Alaska, and the Democratic nominee, Joe Biden of Delaware."
n000002,26.560,27.120,(SILENCE)
f000004,27.120,33.340,The Commission on Presidential Debates is the sponsor of this event and the two remaining presidential debates.
f000005,33.340,39.440,"Tonight's discussion will cover a wide range of topics, including domestic and foreign policy matters."
n000003,39.440,39.840,(SILENCE)
f000006,39.840,43.640,It will be divided roughly into five-minute segments.
f000007,43.640,50.960,Each candidate will have 90 seconds to respond to a direct question and then an additional two minutes for rebuttal and follow-up.
n000004,50.960,51.400,(SILENCE)
f000008,51.400,54.860,The order has been determined by a coin toss.
f000009,54.860,62.520,The specific subjects and questions were chosen by me and have not been shared or cleared with anyone on the campaigns or on the commission.
n000005,62.520,63.040,(SILENCE)
f000010,63.040,101.880,"The audience here in the hall has promised to remain very polite, no cheers, applause, no untoward outbursts, except right at this minute now, as we welcome Governor Palin and Senator Biden."
f000011,101.880,101.881,(APPLAUSE)
f000012,101.881,101.882,Nice to meet you.
f000013,101.882,101.883,It's a pleasure.
f000014,101.883,103.520,"Hey, can I call you Joe?"
f000015,103.520,104.080,Thank you.
f000016,104.080,104.240,"Thank you, Gwen."
f000017,104.240,104.480,Thank you.
f000018,104.480,104.520,Thank you.
f000019,104.520,104.780,Welcome to you both.
f000020,104.780,110.940,"As we have determined by a coin toss, the first question will go to Senator Biden, with a 90-second follow-up from Governor Palin."
f000021,110.940,116.020,"The House of Representatives this week passed a bill, a big bailout bill -- or didn't pass it, I should say."
f000022,116.020,119.960,"The Senate decided to pass it, and the House is wrestling with it still tonight."
n000006,119.960,120.440,(SILENCE)
f000023,120.440,134.680,"As America watches these things happen on Capitol Hill, Senator Biden, was this the worst of Washington or the best of Washington that we saw play out?"
n000007,134.680,135.160,(SILENCE)
f000024,135.160,136.840,"Let me begin by thanking you, Gwen, for hosting this."
f000025,136.840,142.200,"And, Governor, it's a pleasure to meet you, and it's a pleasure to be with you."
