HEAD,0.000,7.000,
f000001,7.000,11.380,"Good evening from Belmont University in Nashville, Tennessee."
f000002,11.380,13.920,I'm Tom Brokaw of NBC News.
f000003,13.920,19.280,"And welcome to this second presidential debate, sponsored by the Commission on Presidential Debates."
f000004,19.280,22.960,Tonight's debate is the only one with a town hall format.
n000001,22.960,23.520,(SILENCE)
f000005,23.520,29.680,The Gallup Organization chose 80 uncommitted voters from the Nashville area to be here with us tonight.
f000006,29.680,34.500,"And earlier today, each of them gave me a copy of their question for the candidates."
f000007,34.500,44.920,From all of these questions -- and from tens of thousands submitted online -- I have selected a long list of excellent questions on domestic and foreign policy.
f000008,44.920,47.920,Neither the commission nor the candidates have seen the questions.
f000009,47.920,55.960,"And although we won't be able to get to all of them tonight, we should have a wide-ranging discussion one month before the election."
n000002,55.960,56.600,(SILENCE)
f000010,56.600,62.880,"Each candidate will have two minutes to respond to a common question, and there will be a one-minute follow-up."
n000003,62.880,64.040,(SILENCE)
f000011,64.040,69.000,"The audience here in the hall has agreed to be polite, and attentive, no cheering or outbursts."
n000004,69.000,69.760,(SILENCE)
f000012,69.760,72.400,"Those of you at home, of course, are not so constrained."
n000005,72.400,73.400,(SILENCE)
f000013,73.400,115.800,"The only exception in the hall is right now, as it is my privilege to introduce the candidates, Senator Barack Obama of Illinois and Senator John McCain of Arizona."
f000014,115.800,116.440,Gentlemen?
f000015,116.440,117.320,"(APPLAUSE)  Gentlemen, we want to get underway immediately, if we can."
f000016,117.320,122.920,"Since you last met at Ole Miss 12 days ago, the world has changed a great deal, and not for the better."
n000006,122.920,123.520,(SILENCE)
f000017,123.520,125.840,We still don't know where the bottom is at this time.
f000018,125.840,135.420,"As you might expect, many of the questions that we have from here in the hall tonight and from online have to do with the American economy and, in fact, with global economic conditions."
f000019,135.420,137.080,I understand that you flipped a coin.
f000020,137.080,139.440,"And, Senator Obama, you will begin tonight."
f000021,139.440,145.280,And we're going to have our first question from over here in Section A from Alan Schaefer (ph).
f000022,145.280,148.360,Alan (ph)?
n000007,148.360,149.240,(SILENCE)
f000023,149.240,160.860,"With the economy on the downturn and retired and older citizens and workers losing their incomes, what's the fastest, most positive solution to bail these people out of the economic ruin?"
n000008,160.860,161.800,(SILENCE)
f000024,161.800,163.960,"Well, Alan (ph), thank you very much for the question."
f000025,163.960,173.000,"I want to first, obviously, thank Belmont University, Tom, thank you, and to all of you who are participating tonight and those of you who sent e-mail questions in."
n000009,173.000,173.600,(SILENCE)
f000026,173.600,180.240,I think everybody knows now we are in the worst financial crisis since the Great Depression.
f000027,180.240,189.660,"And a lot of you I think are worried about your jobs, your pensions, your retirement accounts, your ability to send your child or your grandchild to college."
n000010,189.660,190.520,(SILENCE)
f000028,190.520,211.120,"And I believe this is a final verdict on the failed economic policies of the last eight years, strongly promoted by President Bush and supported by Senator McCain, that essentially said that we should strip away regulations, consumer protections, let the market run wild, and prosperity would rain down on all of us."
n000011,211.120,211.640,(SILENCE)
f000029,211.640,212.860,It hasn't worked out that way.
n000012,212.860,213.560,(SILENCE)
f000030,213.560,216.260,And so now we've got to take some decisive action.
n000013,216.260,217.080,(SILENCE)
f000031,217.080,221.920,"Now, step one was a rescue package that was passed last week."
n000014,221.920,222.320,(SILENCE)
f000032,222.320,223.720,We've got to make sure that works properly.
n000015,223.720,224.520,(SILENCE)
f000033,224.520,231.900,"And that means strong oversight, making sure that investors, taxpayers are getting their money back and treated as investors."
f000034,231.900,240.600,It means that we are cracking down on CEOs and making sure that they're not getting bonuses or golden parachutes as a consequence of this package.
f000035,240.600,247.980,"And, in fact, we just found out that AIG, a company that got a bailout, just a week after they got help went on a $400,000 junket."
f000036,247.980,253.840,"And I'll tell you what, the Treasury should demand that money back and those executives should be fired."
n000016,253.840,254.440,(SILENCE)
f000037,254.440,255.520,But that's only step one.
n000017,255.520,256.120,(SILENCE)
f000038,256.120,257.800,The middle-class need a rescue package.
n000018,257.800,258.360,(SILENCE)
f000039,258.360,261.640,And that means tax cuts for the middle-class.
f000040,261.640,265.040,It means help for homeowners so that they can stay in their homes.
n000019,265.040,265.480,(SILENCE)
f000041,265.480,271.820,It means that we are helping state and local governments set up road projects and bridge projects that keep people in their jobs.
n000020,271.820,272.360,(SILENCE)
f000042,272.360,279.720,"And then long-term we've got to fix our health care system, we've got to fix our energy system that is putting such an enormous burden on families."
