HEAD,0.000,8.000,
f000001,8.000,14.140,"Good evening from the campus of Lynn University here in Boca Raton, Florida."
f000002,14.140,20.840,"This is the fourth and last debate of the 2012 campaign, brought to you by the Commission on Presidential Debates."
n000001,20.840,21.440,(SILENCE)
f000003,21.440,23.160,This one's on foreign policy.
f000004,23.160,25.080,I'm Bob Schieffer of CBS News.
f000005,25.080,30.640,"The questions are mine, and I have not shared them with the candidates or their aides."
f000006,30.640,73.800,"The audience has taken a vow of silence -- no applause, no reaction of any kind, except right now when we welcome President Barack Obama and Governor Mitt Romney."
f000007,73.800,77.600,"(APPLAUSE)  Gentlemen, your campaigns have agreed to certain rules and they are simple."
n000002,77.600,77.920,(SILENCE)
f000008,77.920,80.640,They've asked me to divide the evening into segments.
n000003,80.640,81.080,(SILENCE)
f000009,81.080,83.260,I'll pose a question at the beginning of each segment.
n000004,83.260,83.920,(SILENCE)
f000010,83.920,89.560,You will each have two minutes to respond and then we will have a general discussion until we move to the next segment.
n000005,89.560,90.440,(SILENCE)
f000011,90.440,108.320,"Tonight's debate, as both of you know, comes on the 50th anniversary of the night that President Kennedy told the world that the Soviet Union had installed nuclear missiles in Cuba, perhaps the closest we've ever come to nuclear war."
n000006,108.320,109.240,(SILENCE)
f000012,109.240,118.680,And it is a sobering reminder that every president faces at some point an unexpected threat to our national security from abroad.
f000013,118.680,119.480,So let's begin.
f000014,119.480,124.440,The first segment is the challenge of a changing Middle East and the new face of terrorism.
f000015,124.440,134.360,I'm going to put this into two segments so you'll have two topic questions within this one segment on the subject.
f000016,134.360,138.060,"The first question, and it concerns Libya."
f000017,138.060,140.660,The controversy over what happened there continues.
f000018,140.660,143.760,"Four Americans are dead, including an American ambassador."
f000019,143.760,145.000,Questions remain.
n000007,145.000,145.600,(SILENCE)
f000020,145.600,146.560,What happened?
n000008,146.560,147.160,(SILENCE)
f000021,147.160,148.300,What caused it?
f000022,148.300,149.840,Was it spontaneous?
n000009,149.840,150.200,(SILENCE)
f000023,150.200,151.920,Was it an intelligence failure?
n000010,151.920,152.360,(SILENCE)
f000024,152.360,154.000,Was it a policy failure?
n000011,154.000,154.560,(SILENCE)
f000025,154.560,158.060,Was there an attempt to mislead people about what really happened?
f000026,158.060,166.600,"Governor Romney, you said this was an example of an American policy in the Middle East that is unraveling before our very eyes."
n000012,166.600,167.360,(SILENCE)
f000027,167.360,170.600,I'd like to hear each of you give your thoughts on that.
n000013,170.600,171.200,(SILENCE)
f000028,171.200,172.260,"Governor Romney, you won the toss."
f000029,172.260,172.940,You go first.
f000030,172.940,174.660,"Thank you, Bob."
f000031,174.660,177.360,And thank you for agreeing to moderate this debate this evening.
n000014,177.360,177.960,(SILENCE)
f000032,177.960,180.840,Thank you to Lynn University for welcoming us here.
f000033,180.840,183.380,"And Mr. President, it's good to be with you again."
f000034,183.380,188.560,"We were together at a humorous event a little earlier, and it's nice to maybe funny this time, not on purpose."
f000035,188.560,191.240,We'll see what happens.
f000036,191.240,203.260,"This is obviously an area of great concern to the entire world, and to America in particular, which is to see a -- a complete change in the -- the structure and the -- the environment in the Middle East."
n000015,203.260,204.040,(SILENCE)
