HEAD,0.000,115.000,
f000001,115.000,120.680,"Gentlemen, a lot of people been waiting for this night, so let’s get going."
f000002,120.680,123.120,Our first subject is the Supreme Court.
n000001,123.120,123.920,(SILENCE)
f000003,123.920,132.280,"President Trump, you nominated Amy Coney Barrett over the weekend to succeed the late Ruth Bader Ginsburg on the Court."
n000002,132.280,132.760,(SILENCE)
f000004,132.760,140.000,You say the Constitution is clear about your obligation and the Senate’s to consider a nominee to the Court.
n000003,140.000,140.440,(SILENCE)
f000005,140.440,149.880,"Vice President Biden, you say that this is an effort by the President and Republicans to jam through on an appointment in what you call an abuse of power."
f000006,149.880,157.320,"My first question to both of you tonight, why are you right in the argument you make and your opponent wrong?"
n000004,157.320,157.880,(SILENCE)
f000007,157.880,161.920,And where do you think a Justice Barrett would take the court?
n000005,161.920,162.800,(SILENCE)
f000008,162.800,164.880,"President Trump, in this first segment, you go first."
n000006,164.880,165.200,(SILENCE)
f000009,165.200,165.680,Two minutes.
n000007,165.680,166.280,(SILENCE)
f000010,166.280,167.160,"Thank you very much, Chris."
f000011,167.160,168.400,I will tell you very simply.
f000012,168.400,169.440,We won the election.
n000008,169.440,170.080,(SILENCE)
f000013,170.080,171.840,Elections have consequences.
n000009,171.840,172.280,(SILENCE)
f000014,172.280,179.280,"We have the Senate, we have the White House, and we have a phenomenal nominee respected by all."
n000010,179.280,179.760,(SILENCE)
f000015,179.760,183.460,"Top, top academic, good in every way."
f000016,183.460,184.400,Good in every way.
n000011,184.400,184.880,(SILENCE)
f000017,184.880,191.440,"In fact, some of her biggest endorsers are very liberal people from Notre Dame and other places."
f000018,191.440,193.240,So I think she’s going to be fantastic.
f000019,193.240,195.080,We have plenty of time.
f000020,195.080,197.600,Even if we did it after the election itself.
f000021,197.600,199.520,"I have a lot of time after the election, as you know."
n000012,199.520,200.040,(SILENCE)
f000022,200.040,202.520,So I think that she will be outstanding.
f000023,202.520,207.220,She’s going to be as good as anybody that has served on that court.
f000024,207.220,208.420,We really feel that.
f000025,208.420,214.320,"We have a professor at Notre Dame, highly respected by all, said she’s the single greatest student he’s ever had."
f000026,214.320,216.680,He’s been a professor for a long time at a great school.
n000013,216.680,217.600,(SILENCE)
f000027,217.600,225.760,"And we won the election and therefore we have the right to choose her, and very few people knowingly would say otherwise."
f000028,225.760,229.240,"And by the way, the Democrats, they wouldn’t even think about not doing it."
