HEAD,0.000,99.000,
f000001,99.000,104.720,"Senator Harris and Vice President Pence, thank you for being here."
f000002,104.720,111.480,"We’re meeting as President Trump and the First Lady continue to undergo treatment in Washington, after testing positive for COVID-19."
n000001,111.480,112.560,(SILENCE)
f000003,112.560,119.960,"We send our thoughts and prayers to them for their rapid and complete recovery, and for the recovery of everyone afflicted by the coronavirus."
n000002,119.960,121.320,(SILENCE)
f000004,121.320,125.560,The two campaigns and the commission on presidential debates agreed to the ground rules for tonight.
n000003,125.560,126.240,(SILENCE)
f000005,126.240,131.200,I’m here to enforce them.On behalf of the millions of Americans who are watching.
n000004,131.200,132.400,(SILENCE)
f000006,132.400,141.600,One note: no one in either campaign or at the commission or anywhere else has been told in advance what topics I’ll raise or what questions I’ll ask.
n000005,141.600,143.200,(SILENCE)
f000007,143.200,146.520,This 90 minute debate will be divided into nine segments of about 10 minutes each.
n000006,146.520,147.720,(SILENCE)
f000008,147.720,150.400,I’ll begin a segment by posing a question to each of you.
n000007,150.400,150.880,(SILENCE)
f000009,150.880,154.540,"Sometimes the same question, sometimes a different question on the same topic."
n000008,154.540,155.640,(SILENCE)
f000010,155.640,160.560,You will then have two minutes to answer without interruption by me or the other candidate.
n000009,160.560,161.640,(SILENCE)
f000011,161.640,163.840,Then we’ll take six minutes or so to discuss the issue.
n000010,163.840,165.240,(SILENCE)
f000012,165.240,169.360,"At that point, although there will always be more to say, we’ll move on to the next topic."
n000011,169.360,171.280,(SILENCE)
f000013,171.280,178.080,"We want a debate that is lively, but Americans also deserve a discussion that is civil."
n000012,178.080,179.080,(SILENCE)
f000014,179.080,185.680,"These are tumultuous times, but we can and will have a respectful exchange about the big issues facing our nation."
n000013,185.680,187.960,(SILENCE)
f000015,187.960,192.200,Let’s begin with the ongoing pandemic that has cost our country so much.
n000014,192.200,194.000,(SILENCE)
f000016,194.000,196.880,"Senator Harris, the coronavirus is not under control."
n000015,196.880,198.120,(SILENCE)
f000017,198.120,205.760,"Over the past week, Johns Hopkins reports that 39 states have had more COVID cases over the past seven days than in the week before."
n000016,205.760,207.080,(SILENCE)
f000018,207.080,208.800,Nine States have set new records.
n000017,208.800,209.680,(SILENCE)
f000019,209.680,214.360,"Even if a vaccine is released soon, the next administration will face hard choices."
n000018,214.360,215.440,(SILENCE)
f000020,215.440,221.960,What would a Biden administration do in January and February that a Trump administration wouldn’t do?
f000021,221.960,227.360,"Would you impose new lockdowns for businesses and schools and hotspots, a federal mandate to wear masks?"
n000019,227.360,228.200,(SILENCE)
f000022,228.200,231.200,You have two minutes to respond without interruption.
n000020,231.200,232.840,(SILENCE)
f000023,232.840,235.080,"Thank you, Susan."
f000024,235.080,240.840,"Well, the American people have witnessed what is the greatest failure of any presidential administration in the history of our country."
n000021,240.840,242.760,(SILENCE)
f000025,242.760,243.360,And here are the facts.
n000022,243.360,245.120,(SILENCE)
f000026,245.120,248.760,"210,000 dead people in our country in just the last several months."
n000023,248.760,250.400,(SILENCE)
f000027,250.400,252.320,Over 7 million people who have contracted this disease.
n000024,252.320,254.240,(SILENCE)
f000028,254.240,255.880,One in five businesses closed.
n000025,255.880,257.280,(SILENCE)
f000029,257.280,262.120,We’re looking at frontline workers who have been treated like sacrificial workers.
n000026,262.120,263.560,(SILENCE)
f000030,263.560,270.840,"We are looking at over 30 million people, who in the last several months, had to file for unemployment."
n000027,270.840,271.680,(SILENCE)
f000031,271.680,281.280,"And here’s the thing, on January 28th, the vice president and the president were informed about the nature of this pandemic."
f000032,281.280,292.840,"They were informed that it’s lethal in consequence, that it is airborne, that it will affect young people, and that it would be contracted because it is airborne."
n000028,292.840,295.120,(SILENCE)
f000033,295.120,298.800,"And they knew what was happening, and they didn’t tell you."
n000029,298.800,299.720,(SILENCE)
f000034,299.720,307.080,"Can you imagine if you knew on January 28th, as opposed to March 13th, what they knew, what you might’ve done to prepare?"
n000030,307.080,308.120,(SILENCE)
f000035,308.120,309.640,"They knew, and they covered it up."
n000031,309.640,310.720,(SILENCE)
f000036,310.720,312.080,The president said it was a hoax.
n000032,312.080,313.320,(SILENCE)
f000037,313.320,315.160,They minimized the seriousness of it.
n000033,315.160,315.480,(SILENCE)
f000038,315.480,319.200,"The president said, “You’re on one side of his ledger if you wear a mask."
f000039,319.200,326.680,"You’re on the other side of his ledger if you don’t.” And in spite of all of that, today, they still don’t have a plan."
n000034,326.680,327.960,(SILENCE)
f000040,327.960,329.120,They still don’t have a plan.
f000041,329.120,330.120,"Well, Joe Biden does."
n000035,330.120,330.840,(SILENCE)
f000042,330.840,341.560,"And our plan is about what we need to do around a national strategy for contact tracing, for testing, for administration of the vaccine, and making sure that it will be free for all."
n000036,341.560,342.480,(SILENCE)
f000043,342.480,350.600,"That is the plan that Joe Biden has and that I have, knowing that we have to get a hold of what has been going on, and we need to save our country."
n000037,350.600,351.200,(SILENCE)
f000044,351.200,353.380,And Joe Biden is the best leader to do that.
f000045,353.380,355.120,"And frankly, this administration has forfeited their-"
f000046,355.120,356.480,"Thank you, Senator Harris-"
f000047,356.480,357.600,… right to reelection based on this.
f000048,357.600,359.240,"Thank you, Senator Harris."
n000038,359.240,360.160,(SILENCE)
f000049,360.160,366.000,"Vice President Pence, more than 210,000 Americans have died of COVID-19 since February."
n000039,366.000,366.800,(SILENCE)
f000050,366.800,373.160,"The US death toll, as a percentage of our population, is higher than that of almost every other wealthy nation on Earth."
n000040,373.160,374.040,(SILENCE)
f000051,374.040,377.800,"For instance, our death rate is two and a half times that of Canada, next door."
n000041,377.800,378.920,(SILENCE)
f000052,378.920,381.600,You had the administration’s coronavirus task force.
n000042,381.600,382.760,(SILENCE)
f000053,382.760,389.800,"Why is the US death toll, as a percentage of our population, higher than that of almost every other wealthy country?"
n000043,389.800,390.480,(SILENCE)
f000054,390.480,392.460,And you have two minutes to respond without interruption.
n000044,392.460,393.160,(SILENCE)
f000055,393.160,393.720,"Susan, thank you."
n000045,393.720,394.720,(SILENCE)
f000056,394.720,398.760,And I want to thank the Commission and the University of Utah for hosting this event.
n000046,398.760,399.240,(SILENCE)
f000057,399.240,402.440,"And Senator Harris, it’s a privilege to be on the stage with you."
n000047,402.440,405.120,(SILENCE)
f000058,405.120,407.720,And our nation has gone through a very challenging time this year.
n000048,407.720,409.680,(SILENCE)
f000059,409.680,416.300,"But I want the American people to know that from the very first day, President Donald Trump has put the health of America first."
n000049,416.300,418.400,(SILENCE)
f000060,418.400,428.120,"Before there were more than five cases in the United States, all people who had returned from China, President Donald Trump did what no other American president had ever done."
n000050,428.120,429.040,(SILENCE)
f000061,429.040,433.920,"And that was, he suspended all travel from China, the second largest economy in the world."
n000051,433.920,435.200,(SILENCE)
f000062,435.200,439.320,"Now, Senator Joe Biden opposed that decision."
n000052,439.320,440.280,(SILENCE)
f000063,440.280,442.600,He said it was xenophobic and hysterical.
n000053,442.600,443.880,(SILENCE)
f000064,443.880,454.060,But I can tell you having led the white house coronavirus task force that that decision alone by President Trump bought us invaluable time to stand up the greatest national mobilization since World War Two.
n000054,454.060,455.440,(SILENCE)
f000065,455.440,457.680,And I believe it saved hundreds of thousands of American lives.
n000055,457.680,459.160,(SILENCE)
f000066,459.160,461.540,"Because with that time, we were able to reinvent testing."
f000067,461.540,464.360,More than 115 million tests had been done to date.
n000056,464.360,465.120,(SILENCE)
f000068,465.120,471.240,"We were able to see to the delivery of billions of supplies, so our doctors and nurses had the resources support they needed."
n000057,471.240,472.040,(SILENCE)
f000069,472.040,480.400,"And we began, really, before the month of February we started to develop a vaccine and to develop medicines and therapeutics that have been saving lives all along the way."
n000058,480.400,481.160,(SILENCE)
f000070,481.160,488.960,"And under President Trump’s leadership, Operation Warp Speed, we believe we’ll have literally tens of millions of doses of a vaccine before the end of this year."
n000059,488.960,489.840,(SILENCE)
f000071,489.840,498.000,"The reality is, when you look at the Biden plan, it reads an awful lot like what President Trump, and I, and our task force has been doing every step of the way."
n000060,498.000,499.120,(SILENCE)
f000072,499.120,512.640,"And quite frankly, when I look at their plan that talks about advancing testing, creating new PPE, developing a vaccine, it looks a little bit like plagiarism, which is something Joe Biden knows a little bit about."
n000061,512.640,513.480,(SILENCE)
f000073,513.480,516.480,And I think the American people know that this is a president who has put the health-
f000074,516.480,517.360,"Thank you, Vice President Pence-"
f000075,517.360,518.040,… of America first.
n000062,518.040,518.360,(SILENCE)
