HEAD,0.000,1522.000,
f000001,1522.000,1526.360,And I do want to say a very good evening to both of you.
f000002,1526.360,1528.880,This debate will cover six major topics.
n000001,1528.880,1529.400,(SILENCE)
f000003,1529.400,1535.120,"At the beginning of each section, each candidate will have two minutes, uninterrupted, to answer my first question."
n000002,1535.120,1535.480,(SILENCE)
f000004,1535.480,1540.280,The Debate Commission will then turn on their microphone only when it is their turn to answer.
n000003,1540.280,1540.600,(SILENCE)
f000005,1540.600,1544.160,And the Commission will turn it off exactly when the two minutes have expired.
n000004,1544.160,1544.560,(SILENCE)
f000006,1544.560,1547.040,"After that, both microphones will remain on."
n000005,1547.040,1547.360,(SILENCE)
f000007,1547.360,1551.240,"But on behalf of the voters, I’m going to ask you to please speak one at a time."
n000006,1551.240,1551.640,(SILENCE)
f000008,1551.640,1558.120,The goal is for you to hear each other and for the American people to hear every word of what you both have to say.
n000007,1558.120,1558.640,(SILENCE)
f000009,1558.640,1561.240,"And so with that, if you’re ready, let’s start."
n000008,1561.240,1561.800,(SILENCE)
f000010,1561.800,1564.320,And we will begin with the fight against the coronavirus.
f000011,1564.320,1566.160,"President Trump, the first question is for you."
n000009,1566.160,1567.200,(SILENCE)
f000012,1567.200,1569.520,The country is heading into a dangerous new phase.
n000010,1569.520,1570.080,(SILENCE)
f000013,1570.080,1576.160,"More than 40,000 Americans are in the hospital tonight with COVID, including record numbers here in Tennessee."
n000011,1576.160,1576.600,(SILENCE)
f000014,1576.600,1581.360,"And since the two of you last shared a stage, 16,000 Americans have died from COVID."
n000012,1581.360,1581.800,(SILENCE)
f000015,1581.800,1582.920,So please be specific.
n000013,1582.920,1583.280,(SILENCE)
f000016,1583.280,1585.160,How would you lead the country during this next stage of the coronavirus crisis?
f000017,1585.160,1585.680,"Two minutes, uninterrupted."
f000018,1585.680,1586.920,… during this next stage of the coronavirus crisis.
n000014,1586.920,1587.520,(SILENCE)
f000019,1587.520,1588.320,Two minutes uninterrupted.
n000015,1588.320,1588.840,(SILENCE)
f000020,1588.840,1594.880,"So as you know, 2.2 million people modeled out, were expected to die."
