HEAD,0.000,7.000,
f000001,7.000,20.640,I am Quincy Howe of CB- of ABC News saying good evening from New York where the two major candidates for president of the United States are about to engage in their fourth radio-television discussion of the present campaign.
n000001,20.640,21.640,(SILENCE)
f000002,21.640,25.320,Tonight these men will confine that discussion to foreign policy.
n000002,25.320,26.080,(SILENCE)
f000003,26.080,27.220,"Good evening, Vice President Nixon."
f000004,27.220,28.680,"Good evening, Mr. Howe."
n000003,28.680,29.120,(SILENCE)
f000005,29.120,30.600,"And good evening, Senator Kennedy."
f000006,30.600,31.360,"Good evening, Mr. Howe."
n000004,31.360,31.960,(SILENCE)
f000007,31.960,38.560,Now let me read the rules and conditions under which the candidates themselves have agreed to proceed.
f000008,38.560,48.280,"As they did in their first meeting, both men will make opening statements of about eight minutes each and closing statements of equal time running three to five minutes each."
n000005,48.280,48.800,(SILENCE)
f000009,48.800,60.840,"During the half hour between the opening and closing statements, the candidates will answer and comment upon questions from a panel of four correspondents chosen by the nationwide networks that carry the program."
n000006,60.840,61.640,(SILENCE)
f000010,61.640,66.480,Each candidate will be questioned in turn with opportunity for comment by the other.
n000007,66.480,66.920,(SILENCE)
f000011,66.920,73.080,"Each answer will be limited to two and one-half minutes, each comment to one and one-half minutes."
n000008,73.080,73.760,(SILENCE)
f000012,73.760,79.120,The correspondents are free to ask any questions they choose in the field of foreign affairs.
n000009,79.120,79.520,(SILENCE)
f000013,79.520,82.480,Neither candidate knows what questions will be asked.
n000010,82.480,83.080,(SILENCE)
f000014,83.080,86.240,Time alone will determine the final question.
n000011,86.240,86.960,(SILENCE)
f000015,86.960,93.880,"Reversing the order in their first meeting, Senator Kennedy will make the second opening statement and the first closing statement."
n000012,93.880,94.760,(SILENCE)
f000016,94.760,97.740,"For the first opening statement, here is Vice President Nixon."
n000013,97.740,99.520,(SILENCE)
f000017,99.520,105.280,"Mr. Howe, Senator Kennedy, my fellow Americans."
f000018,105.280,108.020,Since this campaign began I have had a very rare privilege.
n000014,108.020,108.960,(SILENCE)
f000019,108.960,116.640,I have traveled to forty-eight of the fifty states and in my travels I have learned what the people of the United States are thinking about.
n000015,116.640,117.800,(SILENCE)
f000020,117.800,128.320,"There is one issue that stands out above all the rest, one in which every American is concerned, regardless of what group he may be a member and regardless of where he may live."
f000021,128.320,136.440,"And that issue, very simply stated, is this: how can we keep the peace - keep it without surrender?"
n000016,136.440,137.560,(SILENCE)
f000022,137.560,141.800,How can we extend freedom - extend it without war?
n000017,141.800,143.600,(SILENCE)
f000023,143.600,154.340,"Now in determining how we deal with this issue, we must find the answer to a very important but simple question: who threatens the peace?"
n000018,154.340,155.440,(SILENCE)
f000024,155.440,156.720,Who threatens freedom in the world?
n000019,156.720,157.840,(SILENCE)
f000025,157.840,169.000,There is only one threat to peace and one threat to freedom - that that is presented by the international Communist movement.
f000026,169.000,176.320,"And therefore if we are to have peace, we must know how to deal with the Communists and their leaders."
n000020,176.320,178.320,(SILENCE)
f000027,178.320,179.520,I know Mr. Khrushchev.
n000021,179.520,180.560,(SILENCE)
f000028,180.560,186.040,I also have had the opportunity of knowing and meeting other Communist leaders in the world.
f000029,186.040,199.240,"I believe there are certain principles we must find in dealing with him and his colleagues - principles, if followed, that will keep the peace and that also can extend freedom."
f000030,199.240,203.980,"First, we have to learn from the past, because we cannot afford to make the mistakes of the past."
n000022,203.980,206.280,(SILENCE)
f000031,206.280,215.400,"In the seven years before this Administration came into power in Washington, we found that six hundred million people went behind the Iron Curtain."
f000032,215.400,224.680,And at the end of that seven years we were engaged in a war in Korea which cost of thirty thousand American lives.
f000033,224.680,230.360,"In the past seven years, in President Eisenhower's Administration, this situation has been reversed."
n000023,230.360,231.520,(SILENCE)
f000034,231.520,245.340,"We ended the Korean War; by strong, firm leadership we have kept out of other wars; and we have avoided surrender of principle or territory at the conference table."
f000035,245.340,250.200,"Now why were we successful, as our predecessors were not successful?"
n000024,250.200,251.440,(SILENCE)
f000036,251.440,252.400,I think there're several reasons.
n000025,252.400,253.680,(SILENCE)
f000037,253.680,264.220,"In the first place, they made a fatal error in misjudging the Communists; in trying to apply to them the same rules of conduct that you would apply to the leaders of the free world."
n000026,264.220,266.080,(SILENCE)
f000038,266.080,269.760,One of the major errors they made was the one that led to the Korean War.
n000027,269.760,270.560,(SILENCE)
f000039,270.560,275.160,"In ruling out the defense of Korea, they invited aggression in that area."
n000028,275.160,275.760,(SILENCE)
f000040,275.760,278.160,They thought they were going to have peace - it brought war.
n000029,278.160,279.440,(SILENCE)
f000041,279.440,281.040,We learned from their mistakes.
n000030,281.040,281.880,(SILENCE)
f000042,281.880,290.240,"And so, in our seven years, we find that we have been firm in our diplomacy; we have never made concessions without getting concessions in return."
n000031,290.240,291.360,(SILENCE)
f000043,291.360,298.040,We have always been willing to go the extra mile to negotiate for disarmament or in any other area.
f000044,298.040,305.840,"But we have never been willing to do anything that, in effect, surrendered freedom any place in the world."
f000045,305.840,317.960,"That is why President Eisenhower was correct in not apologizing or expressing regrets to Mr. Khrushchev at the Paris Conference, as Senator Kennedy suggested he could have done."
f000046,317.960,347.260,"That is why Senator wh- President Eisenhower was also correct in his policy in the Formosa Straits, where he declined, and refused to follow the recommendations - recommendations which Senator Kennedy voted for in 1955; again made in 1959; again repeated in his debates that you have heard - recommendations with regard to - again - slicing off a piece of free territory, and abandoning it, if - in effect, to the Communists."
n000032,347.260,348.400,(SILENCE)
f000047,348.400,353.520,Why did the President feel this was wrong and why was the President right and his critics wrong?
n000033,353.520,354.320,(SILENCE)
f000048,354.320,370.520,"Because again this showed a lack of understanding of dictators, a lack of understanding particularly of Communists, because every time you make such a concession it does not lead to peace; it only encourages them to blackmail you."
f000049,370.520,372.880,It encourages them to begin a war.
n000034,372.880,374.080,(SILENCE)
f000050,374.080,379.800,"And so I say that the record shows that we know how to keep the peace, to keep it without surrender."
n000035,379.800,381.200,(SILENCE)
f000051,381.200,384.160,Let us move now to the future.
f000052,384.160,391.520,"It is not enough to stand on this record because we are dealing with the most ruthless, fanatical... leaders that the world has ever seen."
n000036,391.520,392.760,(SILENCE)
f000053,392.760,398.760,"That is why I say that in this period of the sixties, America must move forward in every area."
n000037,398.760,400.080,(SILENCE)
f000054,400.080,421.800,"First of all, although we are today, as Senator Kennedy has admitted, the strongest nation in the world militarily, we must increase our strength, increase it so that we will always have enough strength that regardless of what our potential opponents have - if the should launch a surprise attack - we will be able to destroy their war-making capability."
f000055,421.800,425.580,"They must know, in other words, that it is national suicide if they begin anything."
n000038,425.580,426.640,(SILENCE)
f000056,426.640,429.840,We need this kind of strength because we're the guardians of the peace.
n000039,429.840,431.120,(SILENCE)
f000057,431.120,436.080,"In addition to military strength, we need to see that the economy of this country continues to grow."
n000040,436.080,437.200,(SILENCE)
f000058,437.200,439.020,It has grown in the past seven years.
n000041,439.020,439.840,(SILENCE)
f000059,439.840,442.600,It can and will grow even more in the next four.
n000042,442.600,443.640,(SILENCE)
f000060,443.640,456.520,And the reason that it must grow even more is because we have things to do at home and also because we're in a race for survival - a race in which it isn't enough to be ahead; it isn't enough simply to be complacent.
n000043,456.520,457.240,(SILENCE)
f000061,457.240,459.880,We have to move ahead in order to stay ahead.
n000044,459.880,460.760,(SILENCE)
f000062,460.760,474.300,"And that is why, in this field, I have made recommendations which I am confident will move the American economy ahead - move it firmly and soundly so that there will never be a time when the Soviet Union will be able to challenge our superiority in this field."
n000045,474.300,475.760,(SILENCE)
f000063,475.760,482.660,"And so we need military strength, we need economic strength, we also need the right diplomatic policies."
n000046,482.660,483.280,(SILENCE)
f000064,483.280,483.720,What are they?
n000047,483.720,484.720,(SILENCE)
f000065,484.720,485.800,Again we turn to the past.
n000048,485.800,486.640,(SILENCE)
f000066,486.640,496.000,"Firmness but no belligerence, and by no belligerence I mean that we do not answer insult by insult."
f000067,496.000,503.500,"When you are proud and confident of your strength, you do not get down to the level of Mr. Khrushchev and his colleagues."
n000049,503.500,504.480,(SILENCE)
f000068,504.480,510.400,And that example that President Eisenhower has set we will continue to follow.
f000069,510.400,514.960,But all this by itself is not enough.
f000070,514.960,523.560,"It is not enough for us simply to be the strongest nation militarily, the strongest economically, and also to have firm diplomacy."
f000071,523.560,524.560,We must have a great goal.
n000050,524.560,525.480,(SILENCE)
f000072,525.480,535.400,"And that is: not just to keep freedom for ourselves but to extend it to all the world, to extend it to all the world because that is America's destiny."
n000051,535.400,536.320,(SILENCE)
f000073,536.320,545.080,To extend it to all the world because the Communist aim is not to hold their own but to extend Communism.
f000074,545.080,552.640,"And you cannot fight a victory for Communism or a strategy of victory for Communism with the strategy, simply of holding the line."
n000052,552.640,553.680,(SILENCE)
f000075,553.680,565.240,"And so I say that we believe that our policies of military strength, of economic strength, of diplomatic firmness first will keep the peace and keep it without surrender."
f000076,565.240,583.340,"We also believe that in the great field of ideals that we can lead America to the victory for freedom - victory in the newly developing countries, victory also in the captive countries - provided we have faith in ourselves and faith in our principles."
n000053,583.340,586.400,(SILENCE)
f000077,586.400,588.620,Now the opening statement of Senator Kennedy.
n000054,588.620,589.240,(SILENCE)
f000078,589.240,591.740,"Mr. Howe, Mr. Vice President."
f000079,591.740,595.180,First uh - let me again try to correct the record on the matter of Quemoy and Matsu.
n000055,595.180,595.920,(SILENCE)
f000080,595.920,598.960,I voted for the Formosa resolution in 1955.
n000056,598.960,599.400,(SILENCE)
f000081,599.400,600.380,I have sustained it since then.
f000082,600.380,603.560,I've said that I agree with the Administration policy.
n000057,603.560,604.400,(SILENCE)
f000083,604.400,614.760,"Mr. Nixon earlier indicated that he would defend Quemoy and Matsu even if the attack on these islands, two miles off the coast of China, were not part of a general attack an Formosa and the Pescadores."
n000058,614.760,615.560,(SILENCE)
f000084,615.560,622.880,"I indicated that I would defend those islands if the attack were directed against Pescadores and Formosa, which is part of the Eisenhower policy."
n000059,622.880,623.400,(SILENCE)
f000085,623.400,624.480,I've supported that policy.
n000060,624.480,625.080,(SILENCE)
f000086,625.080,641.080,"In the last week, as a member of the Senate Foreign Relations Committee, I have re-read the testimony of General Twining representing the Administration in 1959, and the Assistant Secretary of State before the Foreign Relations Committee in 1958, and I have accurately described the Administration policy, and I support it wholeheartedly."
n000061,641.080,641.800,(SILENCE)
f000087,641.800,644.440,So that really isn't an issue in this campaign.
f000088,644.440,649.160,"It isn't an issue with Mr. Nixon, who now says that he also supports the Eisenhower policy."
n000062,649.160,649.800,(SILENCE)
f000089,649.800,654.280,Nor is the question that all Americans want peace and security an issue in this campaign.
n000063,654.280,655.120,(SILENCE)
f000090,655.120,658.740,The question is: are we moving in the direction of peace and security?
n000064,658.740,659.480,(SILENCE)
f000091,659.480,660.920,Is our relative strength growing?
n000065,660.920,661.600,(SILENCE)
f000092,661.600,668.960,"Is, as Mr. Nixon says, our prestige at an all-time high, as he said a week ago, and that of the Communists at an all-time low?"
n000066,668.960,669.600,(SILENCE)
f000093,669.600,670.520,I don't believe it is.
n000067,670.520,671.120,(SILENCE)
f000094,671.120,673.280,I don't believe that our relative strength is increasing.
n000068,673.280,674.040,(SILENCE)
f000095,674.040,679.920,"And I say that not as the Democratic standard-bearer, but as a citizen of the United States who is concerned about the United States."
n000069,679.920,680.600,(SILENCE)
f000096,680.600,683.940,"I look at Cuba, ninety miles off the coast of the United States."
n000070,683.940,684.720,(SILENCE)
f000097,684.720,686.560,In 1957 I was in Havana.
n000071,686.560,687.240,(SILENCE)
f000098,687.240,688.840,I talked to the American Ambassador there.
n000072,688.840,689.320,(SILENCE)
f000099,689.320,691.840,He said that he was the second most powerful man in Cuba.
n000073,691.840,692.600,(SILENCE)
f000100,692.600,709.640,"And yet even though Ambassador Smith and Ambassador Gardner, both Republican Ambassadors, both warned of Castro, the Marxist influences around Castro, the Communist influences around Castro, both of them have testified in the last six weeks, that in spite of their warnings to the American government, nothing was done."
n000074,709.640,710.920,(SILENCE)
f000101,710.920,712.900,Our d- security depends upon Latin America.
n000075,712.900,713.640,(SILENCE)
f000102,713.640,730.600,"Can any American looking at the situation in Latin America feel contented with what's happening today, when a candidate for the presidency of Brazil feels it necessary to call - not on Washington during the campaign - but on Castro in Havana, in order to pick up the support of the Castro supporters in Brazil?"
n000076,730.600,731.520,(SILENCE)
f000103,731.520,743.560,"At the American Conference - Inter-American Conference this summer, when we wanted them to join together in the denunciation of Castro and the Cuban Communists, we couldn't even get the Inter-American group to join together in denouncing Castro."
n000077,743.560,744.160,(SILENCE)
f000104,744.160,746.280,It was rather a vague statement that they finally made.
n000078,746.280,746.880,(SILENCE)
f000105,746.880,753.880,Do you know today that the Com- the Russians broadcast ten times as many programs in Spanish to Latin America as we do?
n000079,753.880,754.440,(SILENCE)
f000106,754.440,764.640,"Do you know we don't have a single program sponsored by our government to Cuba - to tell them our story, to tell them that we are their friends, that we want them to be free again?"
f000107,764.640,767.320,Africa is now the emerging area of the world.
n000080,767.320,767.960,(SILENCE)
f000108,767.960,771.420,It contains twenty-five percent of all the members of the General Assembly.
n000081,771.420,772.360,(SILENCE)
f000109,772.360,775.240,We didn't even have a Bureau of African Affairs until 1957.
n000082,775.240,776.120,(SILENCE)
f000110,776.120,787.620,"In the Africa south of the Sahara, which is the major new section, we have less students from all of Africa in that area studying under government auspices today than from the country of Thailand."
f000111,787.620,789.600,If there's one thing Africa needs it's technical assistance.
n000083,789.600,790.360,(SILENCE)
f000112,790.360,796.520,And yet last year we gave them less than five percent of all the technical assistance funds that we distributed around the world.
n000084,796.520,797.240,(SILENCE)
f000113,797.240,803.520,"We relied in the Middle East on the Baghdad Pact, and yet when the Iraqi Government was changed, the Baghdad Pact broke down."
n000085,803.520,804.240,(SILENCE)
f000114,804.240,807.040,"We relied on the Eisenhower Doctrine for the Middle East, which passed the Senate."
n000086,807.040,807.520,(SILENCE)
f000115,807.520,812.800,There isn't one country in the Middle East that now endorses the Eisenhower Doctrine.
f000116,812.800,817.080,We look to Europe uh - to Asia because the struggle is in the underdeveloped world.
n000087,817.080,817.720,(SILENCE)
f000117,817.720,821.560,"Which system, Communism or freedom, will triumph in the next five or ten years?"
f000118,821.560,825.600,"That's what should concern us, not the history of ten, or fifteen, or twenty years ago."
n000088,825.600,826.080,(SILENCE)
f000119,826.080,827.760,But are we doing enough in these areas?
n000089,827.760,828.200,(SILENCE)
f000120,828.200,829.980,What are freedom's chances in those areas?
n000090,829.980,830.680,(SILENCE)
f000121,830.680,834.380,"By 1965 or 1970, will there be other Cubas in Latin America?"
n000091,834.380,835.080,(SILENCE)
