HEAD,0.000,7.000,
f000001,7.000,8.680,Good evening.
f000002,8.680,24.080,"I'm Pauline Frederick of NPR, moderator of this second of the historic debates of the 1976 campaign between Gerald R, Ford of Michigan, Republican candidate for president, and Jimmy Carter of Georgia, Democratic candidate for president."
f000003,24.080,30.600,"Thank you, President Ford and thank you, Governor Carter, for being with us tonight."
f000004,30.600,35.560,This debate takes place before an audience in the Palace of Fine Arts Theater in San Francisco.
n000001,35.560,36.080,(SILENCE)
f000005,36.080,41.440,An estimated one hundred million Americans are watching on television as well.
f000006,41.440,45.960,"San Francisco was the site of the signing of the United Nations Charter, thirty one years ago."
n000002,45.960,46.760,(SILENCE)
f000007,46.760,53.680,"Thus, it is an appropriate place to hold this debate, the subject of which is foreign and defense issues."
f000008,53.680,67.720,"The questioners tonight are Max Frankel, associate editor of the New York Times, Henry L. Trewhitt, diplomatic correspondent of the Baltimore Sun, and Richard Valeriani, diplomatic correspondent of NBC News."
n000003,67.720,69.200,(SILENCE)
f000009,69.200,74.120,The ground rules are basically the same as they were for the first debate two weeks ago.
n000004,74.120,74.840,(SILENCE)
f000010,74.840,78.180,The questions will be alternated between candidates.
f000011,78.180,81.600,"By the toss of a coin, Governor Carter will take the first question."
n000005,81.600,82.720,(SILENCE)
f000012,82.720,89.820,Each question sequence will be as follows: The question will be asked and the candidate will have up to three minutes to answer.
n000006,89.820,90.720,(SILENCE)
f000013,90.720,93.280,His opponent will have up to two minutes to respond.
n000007,93.280,94.280,(SILENCE)
f000014,94.280,103.320,"And prior to the response, the questioner may ask a follow-up question to clarify the candidate's answer when necessary with up to two minutes to reply."
n000008,103.320,104.120,(SILENCE)
f000015,104.120,107.800,Each candidate will have three minutes for a closing statement at the end.
n000009,107.800,108.840,(SILENCE)
f000016,108.840,118.100,"President Ford and Governor Carter do not have notes or prepared remarks with them this evening, but they may take notes during the debate and refer to them."
n000010,118.100,119.120,(SILENCE)
f000017,119.120,122.200,"Mr. Frankel, you have the first question for Governor Carter."
n000011,122.200,123.520,(SILENCE)
f000018,123.520,150.120,"Governor, since the Democrats last ran our foreign policy, including many of the men who are advising you, country has been relieved of the Vietnam agony and the military draft, we've started arms control negotiations with the Russians, we've opened relations with China, we've arranged the disengagement in the Middle East, we've regained influence with the Arabs without deserting Israel, now, maybe we've even begun a process of peaceful change in Africa."
n000012,150.120,150.840,(SILENCE)
f000019,150.840,161.480,"Now you've objected in this campaign to the style with which much of this was done, and you've mentioned some other things that - that you think ought to have been done."
f000020,161.480,165.280,But do you really have a quarrel with this Republican record?
f000021,165.280,166.600,Would you not have done any of those things?
n000013,166.600,168.200,(SILENCE)
f000022,168.200,174.400,"Well I think this Republican administration has been almost all style, and spectacular, and not substance."
n000014,174.400,174.720,(SILENCE)
f000023,174.720,185.480,"We've uh - got a chance tonight to talk about, first of all, leadership, the character of our country, and a vision of the future."
n000015,185.480,186.720,(SILENCE)
f000024,186.720,195.040,"In every one of these instances, the Ford administration has failed, and I hope tonight that I and Mr. Ford will have a chance to discuss the reasons for those failures."
f000025,195.040,201.000,Our country is not strong anymore; we're not respected anymore.
f000026,201.000,210.900,We can only be strong overseas if we're strong at home; and when I became president we'll not only be strong in those areas but also in defense - a defense capability second to none.
f000027,210.900,218.400,"We've lost in our foreign policy, the character of the American people."
f000028,218.400,224.960,We've uh - ignored or excluded the American people and the Congress from participation in the shaping of our foreign policy.
f000029,224.960,228.000,It's been one of secrecy and exclusion.
f000030,228.000,238.960,"In addition to that we've had a chance to became now, contrary to our long-standing beliefs and principles, the arms merchant of the whole world."
n000016,238.960,239.880,(SILENCE)
f000031,239.880,251.620,"We've tried to buy success from our enemies, and at the same time we've excluded from the process the normal friendship of our allies."
f000032,251.620,254.980,In addition to that we've become fearful to compete with the Soviet Union on an equal basis.
f000033,254.980,257.520,We talk about detente.
f000034,257.520,262.160,"The Soviet Union knows what they want in detente, and they've been getting it."
n000017,262.160,263.240,(SILENCE)
f000035,263.240,268.580,We have not known what we've wanted and we've been out-traded in almost every instance.
f000036,268.580,272.660,The other point I wanna make is about our defense.
f000037,272.660,280.840,"We've got to be a nation blessed with a defense capability that's efficient, tough, capable, well organized, narrowly focused - fighting capability."
f000038,280.840,288.200,"The ability to fight, if necessary, is the best way to avoid the chance for, or the requirement to fight."
n000018,288.200,289.000,(SILENCE)
f000039,289.000,299.000,"And the last point I wanna make is this: Mr. Ford, Mr. Kissinger have uh - continued on with the policies and failures of Richard Nixon."
n000019,299.000,299.960,(SILENCE)
f000040,299.960,309.560,Even the Republican platform has criticized the lack of leadership in Mr. Ford and they've criticized the foreign policy of this administration.
n000020,309.560,309.920,(SILENCE)
f000041,309.920,317.900,This is one instance where I agree with - with the Republican platform.
f000042,317.900,323.660,"I might say this in closing, and that is that as far as foreign policy goes, Mr. Kissinger has been the president of this country."
f000043,323.660,330.940,"Mr. Ford has shown an absence of leadership, and an absence of a grasp of what this country is and what it ought to be."
f000044,330.940,331.400,That's got to be changed.
n000021,331.400,331.800,(SILENCE)
f000045,331.800,337.880,And that's one of the major issues in this uh - campaign of 1976.
f000046,337.880,338.960,"President Ford, would you like to respond?"
n000022,338.960,339.520,(SILENCE)
f000047,339.520,343.360,Governor Carter again is talking in broad generalities.
n000023,343.360,343.880,(SILENCE)
f000048,343.880,350.040,Let me take just one question that he raises - the military strength and capability of the United States.
n000024,350.040,351.240,(SILENCE)
f000049,351.240,360.300,Governor Carter in November of 1975 indicated that he wanted to cut the defense budget by $15 billion.
f000050,360.300,366.920,"A few months later, he said he wanted to cut the defense budget by eight or nine billion dollars."
f000051,366.920,372.960,"And more recently, he talks about cutting the defense budget by five to seven billion dollars."
f000052,372.960,380.880,There is no way you can be strong militarily and have those kind of reductions in our military uh - appropriation.
n000025,380.880,381.560,(SILENCE)
f000053,381.560,383.280,Now let me just tell you a little story.
n000026,383.280,384.880,(SILENCE)
f000054,384.880,403.520,"About uh - late October of 1975, I asked the then Secretary of Defense, Mr. Schlesinger, to tell me what had to be done if we were going to reduce the defense budget by uh - three to five billion dollars."
f000055,403.520,419.600,"A few days later, Mr. Schlesinger came back and said if we cut the defense budget by three to five billion dollars, we will have to cut military personnel by two hundred and fifty thousand, civilian personnel by a hundred thousand, jobs in America by a hundred thousand."
f000056,419.600,436.040,"We would have to stretch out our aircraft procurement, we would have to reduce our naval construction program, we would have to reduce the uh - research and development for the Army, the Navy, the Air Force and Marines by 8 percent."
n000027,436.040,436.440,(SILENCE)
f000057,436.440,441.380,We would have to close twenty military bases in the United States immediately.
n000028,441.380,442.120,(SILENCE)
f000058,442.120,447.660,That's the kind of defense program that uh - Mr. Carter wants.
f000059,447.660,450.380,Let me tell you this straight from the shoulder.
f000060,450.380,453.280,You don't negotiate with Mr. Brezhnev from weakness.
n000029,453.280,453.720,(SILENCE)
f000061,453.720,461.240,And the kind of defense program that Mr. Carter wants will mean a weaker defense and a poor negotiating position.
n000030,461.240,463.120,(SILENCE)
f000062,463.120,465.720,"Mr. Trewhitt, a question for President Ford."
n000031,465.720,466.280,(SILENCE)
f000063,466.280,470.960,"Mr. President, my question really is the other side of the coin from Mr. Frankel's."
f000064,470.960,475.060,For a generation the United States has had a foreign policy based on containment of Communism.
n000032,475.060,476.200,(SILENCE)
f000065,476.200,480.680,Yet we have lost the first war in Vietnam; we lost a shoving match in Angola.
n000033,480.680,481.280,(SILENCE)
f000066,481.280,488.260,Uh - the Communists threatened to come to power by peaceful means in Italy and relations generally have cooled with the Soviet Union in the last few months.
n000034,488.260,489.040,(SILENCE)
f000067,489.040,492.480,"So le- let me ask you first, what do you do about such cases as Italy?"
n000035,492.480,493.160,(SILENCE)
f000068,493.160,499.640,"And secondly, does this general drift mean that we're moving back toward something like an old cold - cold-war relationship with the Soviet Union?"
n000036,499.640,500.120,(SILENCE)
f000069,500.120,503.040,I don't believe we should move to a cold-war relationship.
f000070,503.040,516.240,"I think it's in the best interest of the United States, and the world as a whole that the United States negotiate rather than go back to the cold-war relationship with the Soviet Union."
n000037,516.240,517.160,(SILENCE)
f000071,517.160,524.120,"I don't uh - look at the picture as bleakly as you have indicated in your question, Mr. Trewhitt."
f000072,524.120,531.880,"I believe that the United States ha- had many successes in recent years, in recent months, as far as the Communist movement is concerned."
n000038,531.880,532.400,(SILENCE)
f000073,532.400,543.200,"We have been successful in Portugal, where a year ago it looked like there was a very great possibility that the uh - Communists would take over in Portugal."
f000074,543.200,544.180,It didn't happen.
f000075,544.180,547.820,We have a democracy in Portugal today.
f000076,547.820,557.440,"A few uh - months ago, or I should say, maybe two years ago, the Soviet Union looked like they had continued strength in the Middle East."
n000039,557.440,558.320,(SILENCE)
f000077,558.320,567.040,"Today, according to Prime Minister Rabin, the Soviet Union is weaker in the Middle East than they have been in many, many years."
n000040,567.040,567.640,(SILENCE)
