HEAD,0.000,6.960,
f000001,6.960,20.940,"Good evening, I'm Barbara Walters, moderator of the last of the debates of 1976 between Gerald R. Ford, Republican candidate for president, and Jimmy Carter, Democratic candidate for president."
n000001,20.940,21.600,(SILENCE)
f000002,21.600,22.920,"Welcome, President Ford."
f000003,22.920,24.090,"Welcome, Governor Carter."
n000002,24.090,24.540,(SILENCE)
f000004,24.540,26.040,And thank you for joining us this evening.
n000003,26.040,26.340,(SILENCE)
f000005,26.340,36.300,"This debate takes place before an audience in Phi Beta Kappa Memorial Hall on the campus of the College of William and Mary in historic Williamsburg, Virginia."
f000006,36.300,42.960,It is particularly appropriate that in this Bicentennial year we meet on these grounds to hear this debate.
n000004,42.960,43.260,(SILENCE)
f000007,43.260,60.660,"Two hundred years ago, five William and Mary students met at nearby Raleigh Tavern to form Phi Beta Kappa, a fraternity designed, they wrote, to search out and dispel the clouds of falsehood by debating without reserve the issues of the day."
n000005,60.660,61.200,(SILENCE)
f000008,61.200,68.820,"In that spirit of debate, without reserve, to dispel the clouds of falsehood, gentlemen, let us proceed."
f000009,68.820,73.620,"The subject matter of this debate is open, covering all issues and topics."
f000010,73.620,86.760,"Our questioners tonight are Joseph Kraft, syndicated columnist; Robert Maynard, editorial writer for the Washington Post; and Jack Nelson, Washington bureau chief of the Los Angeles Times."
f000011,86.760,92.400,The ground rules tonight are as follows: Questioners will alternate questions between the candidates.
n000006,92.400,93.060,(SILENCE)
f000012,93.060,96.120,The candidate has up to two and one-half minutes to answer the question.
n000007,96.120,96.600,(SILENCE)
f000013,96.600,99.990,The other candidate has up to two minutes to respond.
n000008,99.990,100.740,(SILENCE)
f000014,100.740,109.560,"If necessary, a questioner may ask a follow-up question for further clarification, and in that case the candidate has up to two minutes to respond."
n000009,109.560,110.400,(SILENCE)
f000015,110.400,117.870,"As was initially agreed to by both candidates, the answers should be responsive to the particular questions."
f000016,117.870,121.440,"Finally, each candidate has up to three minutes for a closing statement."
n000010,121.440,121.740,(SILENCE)
f000017,121.740,130.980,"President Ford and Governor Carter do not have prepared notes or comments with them this evening, but they may make notes and refer to them during the debate."
f000018,130.980,139.200,"It has been determined that President Ford would take the first question in this last debate, and Mr. Kraft, you have that first question for President Ford."
n000011,139.200,140.040,(SILENCE)
f000019,140.040,149.340,"Mr. President, uh - I assume that the Americans all know that these are difficult times and that there's no ""pie in the sky"" and that they don't expect something for nothing."
n000012,149.340,150.240,(SILENCE)
f000020,150.240,164.640,"Uh - so, I'd like to ask you as a first question as you look ahead in the next four years, what sacrifices are you going to call on the American people to make, what price are you going to ask them to pay uh - to realize your objectives?"
f000021,164.640,181.740,"Uh - let me add, uh - Governor Carter, that if - if you felt uh - that it was appropriate to answer that question in - in your comments uh - as to what price it would be appropriate for the American pay - people to pay uh - for a Carter administration, I think that would be proper too."
n000013,181.740,182.700,(SILENCE)
f000022,182.700,182.880,Mr. President?
n000014,182.880,183.300,(SILENCE)
f000023,183.300,198.600,"Mr. Kraft, I believe that the American people, in the next four years under a Ford administration, will be called upon to make those necessary sacrifices to preserve the peace which we have."
n000015,198.600,199.500,(SILENCE)
f000024,199.500,223.440,"Which means, of course, that uh - we will have to maintain an adequate military capability - which means, of course, that we will have to add a uh - I think uh - a few billion dollars to our defense appropriations to make certain that we have adequate uh -strategic forces - adequate conventional forces."
n000016,223.440,224.340,(SILENCE)
f000025,224.340,244.500,"I think the American people will be called upon to uh - uh - be in the forefront in giving leadership to the solution of those problems that must be solved in the Middle East, in southern Africa, and any problems that might arise in the Pacific."
n000017,244.500,245.280,(SILENCE)
f000026,245.280,253.440,The American people will be called upon to tighten their belts a bit in meeting some of the problems that we face domestically.
n000018,253.440,254.220,(SILENCE)
f000027,254.220,266.100,I don't think that uh - America can go on a big spending spree with a whole lot of new programs uh - that would add significantly to the federal budget.
n000019,266.100,267.060,(SILENCE)
f000028,267.060,293.340,"I believe that the American people, if given the leadership that I would expect to give, would be willing to give this thrust to preserve the peace and the necessary restraint at home to hold the lid on spending so that we could, I think, have a long overdue and totally justified tax decrease for the middle-income people."
n000020,293.340,294.180,(SILENCE)
f000029,294.180,314.880,"And then, with the economy that would be generated from a restraint on spending, and a tax uh reduction primarily for the middle-income people, then I think the American people would be willing to make those sacrifices for peace and prosperity in the next uh - four years."
f000030,314.880,316.770,"Could I be a little bit more specific, Mr. President?"
f000031,316.770,317.940,"Surely, surely."
f000032,317.940,336.960,"Doesn't your policy really imply that we're going to have a fairly high rate of unemployment over a fairly long time, that growth is gonna be fairly slow, and that we're not gonna be able to do much - very much in the next four or five years to meet the basic agenda of our national needs in the cities, in health, uh in transit and a whole lot of things like that."
f000033,336.960,337.800,Not at all.
n000021,337.800,338.460,(SILENCE)
f000034,338.460,340.260,Aren't those the real costs?
f000035,340.260,354.840,"No, Mr. Kraft, we're spending very significant amounts of money now, some $200 billion a year, almost 50 percent of our total federal expenditure uh - by the federal government at the present time for human needs."
f000036,354.840,358.260,Now we will probably need to increase that to same extent.
n000022,358.260,359.040,(SILENCE)
f000037,359.040,367.860,But we don't have to have - growth in spending that will blow the lid off and add to the problems of inflation.
f000038,367.860,375.840,I believe we can meet the problems within the cities of this country and still uh - give a tax reduction.
n000023,375.840,376.500,(SILENCE)
f000039,376.500,383.760,"I proposed, as you know, a reduction to increase the personal exemption from seven hundred and fifty to a thousand dollars."
n000024,383.760,385.080,(SILENCE)
f000040,385.080,404.880,"With the fiscal program that I have, and if you look at the projections, it shows that we will reduce unemployment, that we will continue to win the battle against inflation, and at the same time give the kind of quality of life that I believe is possible in America."
n000025,404.880,405.720,(SILENCE)
f000041,405.720,416.340,"Uh - a job, a home for all those that'll work and save for it, uh - safety in the streets, uh - health that is a - health care that is affordable."
n000026,416.340,416.880,(SILENCE)
f000042,416.880,423.120,These things can be done if we have the right vision and the right restraint and the right leadership.
n000027,423.120,424.200,(SILENCE)
f000043,424.200,424.380,Thank you.
n000028,424.380,424.860,(SILENCE)
f000044,424.860,428.400,"Governor Carter, your response please."
f000045,428.400,433.380,Well I might say first of all that I think in case of the Carter administration the sacrifices would be much less.
n000029,433.380,434.280,(SILENCE)
f000046,434.280,440.520,Mr. Ford's own uh - environmental agency has projected a 10 percent unemployment rate by 1978 if he's uh - president.
n000030,440.520,441.420,(SILENCE)
f000047,441.420,444.240,The American people are ready to make sacrifices if they are part of the process.
n000031,444.240,445.020,(SILENCE)
f000048,445.020,451.440,If they know that they will be helping to make decisions and won't be excluded from being an involved party to the national purpose.
n000032,451.440,451.740,(SILENCE)
f000049,451.740,456.930,The major effort we must put forward is to put our people back to work.
f000050,456.930,465.060,"And I think that this uh - is one example where uh - a lot of people have selfish, grasping ideas now."
n000033,465.060,466.200,(SILENCE)
f000051,466.200,478.320,"I remember 1973 in the depth of the uh - energy crisis when President Nixon called on the American people to make a sacrifice, to cut down on the waste of uh - gasoline, to cut down on the uh - speed of automobiles."
f000052,478.320,481.830,"It was a - a tremendous surge of patriotism, that ""I want to make a sacrifice for my country."""
n000034,481.830,483.000,(SILENCE)
f000053,483.000,491.340,"I think we uh - could call together, with strong leadership in the White House, business, industry and labor, and say let's have voluntary price restraints."
n000035,491.340,492.420,(SILENCE)
f000054,492.420,495.600,Let's lay down some guidelines so we don't have continuing inflation.
n000036,495.600,496.500,(SILENCE)
f000055,496.500,499.200,We can also have a- an end to the extremes.
n000037,499.200,499.500,(SILENCE)
f000056,499.500,513.780,"We now have one extreme for instance, of some welfare recipients, who by taking advantage of the welfare laws, the housing laws, the uh - Medicaid uh - laws, and the uh - food stamp laws, make over $10 thousand a year and uh - they don't have to pay any taxes on it."
n000038,513.780,514.440,(SILENCE)
f000057,514.440,521.160,"At the other extreme, uh - just 1 percent of the richest people in our country derive 25 percent of all the tax benefits."
n000039,521.160,521.940,(SILENCE)
f000058,521.940,533.820,"So both those extremes grasp for advantage and the person who has to pay that expense is the middle-income family who's still working for a living and they have to pay for the rich who have privilege, and for the poor who are not working."
n000040,533.820,534.480,(SILENCE)
f000059,534.480,545.040,"But I think uh - uh - a balanced approach, with everybody being part of it and a striving for unselfishness, could help as it did in 1973 to let people sacrifice for their own country."
f000060,545.040,545.880,I know I'm ready for it.
n000041,545.880,546.360,(SILENCE)
f000061,546.360,550.740,I think the American people are too.
f000062,550.740,550.980,Thank you.
n000042,550.980,551.520,(SILENCE)
f000063,551.520,554.040,"Mr. Maynard, your question for Governor Carter."
n000043,554.040,555.240,(SILENCE)
f000064,555.240,562.260,"Governor, by all indications, the voters are so turned off by this election campaign so far that only half intend to vote."
n000044,562.260,563.460,(SILENCE)
f000065,563.460,570.360,One major reason for this apathetic electorate appears to be the low level at which this campaign has been conducted.
n000045,570.360,571.500,(SILENCE)
f000066,571.500,581.100,It has digressed frequently from important issues into allegations of blunder and brainwashing and fixations on lust and Playboy.
f000067,581.100,587.520,What responsibility do you accept for the low level of this campaign for the nation's highest office?
n000046,587.520,589.560,(SILENCE)
f000068,589.560,599.880,I think the major reason for a decrease in participation that we have experienced ever since 1960 has been the deep discouragement of the American people about the performance of public officials.
n000047,599.880,600.180,(SILENCE)
f000069,600.180,620.580,"When you've got seven and a half, eight million people out of work, and you've got three times as much inflation as you had during the last eight-year Democratic administration, when you have the highest deficits in history; when you have it uh - becoming increasingly difficult far a family to put a child through college or to own a home, there's a natural inclination to be turned off."
n000048,620.580,621.120,(SILENCE)
