Youtube,Name,Debate,Head,Tail,Transcript URL,Date,Notes,File
https://youtu.be/gbrcRKqLSRw,First Kennedy-Nixon Presidential Debate - 1960,1_1960,,34,https://www.debates.org/voter-education/debate-transcripts/september-26-1960-debate-transcript/,26-Sep-60,,1_1960_First Kennedy-Nixon Presidential Debate - 1960.mp4
https://youtu.be/fE61QJ3-GG8,Second Kennedy-Nixon Presidential Debate - 1960,2_1960,7,55,https://www.debates.org/voter-education/debate-transcripts/october-7-1960-debate-transcript/,07-Oct-60,Good alignment,2_1960_Second Kennedy-Nixon Presidential Debate - 1960.mp4
https://youtu.be/OHjWb5XsAMI,Third Kennedy-Nixon Presidential Debate - 1960,3_1960,6,138,https://www.debates.org/voter-education/debate-transcripts/october-13-1960-debate-transcript/,13-Oct-60,Good alignment,3_1960_Third Kennedy-Nixon Presidential Debate - 1960.mp4
https://youtu.be/-9cdRpE4KKc,Fourth Kennedy-Nixon Presidential Debate - 1960,4_1960,7,83,https://www.debates.org/voter-education/debate-transcripts/october-21-1960-debate-transcript/,21-Oct-60,,4_1960_Fourth Kennedy-Nixon Presidential Debate - 1960.mp4
https://youtu.be/xdQK78l3Xhc,First Carter-Ford Presidential Debate - 1976,5_1976,5,63,https://www.debates.org/voter-education/debate-transcripts/september-23-1976-debate-transcript/,23-Sep-76,Bad alingment because there was an interruption. Fix.,5_1976_First Carter-Ford Presidential Debate - 1976.mp4
https://youtu.be/fj5A38gKHfk,Second Carter-Ford Presidential Debate - 1976,6_1976,7,50,https://www.debates.org/voter-education/debate-transcripts/october-6-1976-debate-transcript/,06-Oct-76,"Fairly good alignment increasing dtw margin and decreasing mfcc window, but there's a mismatch of audio around f000439, LOOK FOR OTHER VIDEO?",6_1976_Second Carter-Ford Presidential Debate - 1976.mp4
https://youtu.be/50WmNau8Pyw,Third Carter-Ford Presidential Debate - 1976,7_1976,7,115,https://www.debates.org/voter-education/debate-transcripts/october-22-1976-debate-transcript/,22-Oct-76,Good alignment,7_1976_Third Carter-Ford Presidential Debate - 1976.mp4
https://youtu.be/fVj2llCwJtE,Anderson-Reagan Presidential Debate - 1980,8_1980,6,50,https://www.debates.org/voter-education/debate-transcripts/september-21-1980-debate-transcript/,21-Sep-80,,8_1980_Anderson-Reagan Presidential Debate - 1980.mp4
https://youtu.be/_8YxFc_1b_0,Carter-Reagan Presidential Debate - 1980,9_1980,16,40,https://www.debates.org/voter-education/debate-transcripts/october-28-1980-debate-transcript/,28-Oct-80,,9_1980_Carter-Reagan Presidential Debate - 1980.mp4
https://youtu.be/ObDjMJdNGBw,First Reagan-Mondale Presidential Debate - 1984,10_1984,6,72,https://www.debates.org/voter-education/debate-transcripts/october-7-1984-debate-transcript/,07-Oct-84,,10_1984_First Reagan-Mondale Presidential Debate - 1984.mp4
https://youtu.be/VMUsWsygJJM,Bush-Ferraro Vice-Presidential Debate - 1984,11_1984,6,50,https://www.debates.org/voter-education/debate-transcripts/october-11-1984-debate-transcript/,11-Oct-84,,11_1984_Bush-Ferraro Vice-Presidential Debate - 1984.mp4
https://youtu.be/5SbsCaRYW6w,Second Reagan-Mondale Presidential Debate - 1984,12_1984,7,20,https://www.debates.org/voter-education/debate-transcripts/october-21-1984-debate-transcript/,21-Oct-84,,12_1984_Second Reagan-Mondale Presidential Debate - 1984.mp4
https://youtu.be/w2OIGH710aY,First Bush-Dukakis Presidential Debate - 1988,13_1988,9,168,https://www.debates.org/voter-education/debate-transcripts/september-25-1988-debate-transcript/,25-Sep-88,Last intervention by Dukakis was not transcribed,13_1988_First Bush-Dukakis Presidential Debate - 1988.mp4
https://youtu.be/4hurHlHQf2I,Bentsen-Quayle Vice Presidential Debate - 1988,14_1988,7,30,https://www.debates.org/voter-education/debate-transcripts/october-5-1988-debate-transcripts/,05-Oct-84,,14_1988_Bentsen-Quayle Vice Presidential Debate - 1988.mp4
https://youtu.be/hHCUvx3tpnM,Second Bush-Dukakis Presidential Debate - 1988,15_1988,8,21,https://www.debates.org/voter-education/debate-transcripts/october-13-1988-debate-transcript/,13-Oct-88,,15_1988_Second Bush-Dukakis Presidential Debate - 1988.mp4
https://youtu.be/jWo88Lr0rzw,First Clinton-Bush-Perot Presidential Debate Part 1 - 1922,16_1992,113,0,https://www.debates.org/voter-education/debate-transcripts/october-11-1992-first-half-debate-transcript/,11-Oct-92,This is the first part of the debate. First opening statement missing.,16_1992_First Clinton-Bush-Perot Presidential Debate Part 1 - 1922.mp4
,First Clinton-Bush-Perot Presidential Debate Part 2 - 1922,17_1992,0,12,https://www.debates.org/voter-education/debate-transcripts/october-11-1992-second-half-debate-transcript/,11-Oct-92,"This is the second part of the debate. The transcripts are wrong, only the first paragraph is recorded",17_1992_First Clinton-Bush-Perot Presidential Debate Part 2 - 1922.mp4
https://youtu.be/BIq_mW-nSnQ,Gore-Quayle-Stockdale Vice Presidential Debate - 1992,18_1992,9,44,https://www.debates.org/voter-education/debate-transcripts/october-13-1992-debate-transcript/,13-Oct-92,,18_1992_Gore-Quayle-Stockdale Vice Presidential Debate - 1992.mp4
